GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
3.29E-07,9.0655817375,-30.6027058808,7
5.28E-07,10.0304923673,-30.8017190797,7
3.19E-07,10.5064064567,-31.0731171989,7
-1.48E-07,9.6868225473,-30.9721841543,7
1.54E-07,9.8442710818,-31.1569623873,7
-1.99E-07,10.1214393315,-30.8872743385,7
3.92E-07,9.9605114982,-31.3422282022,7
3.16E-07,9.9694742252,-31.2534088482,7
-5.25E-07,9.6348345619,-31.0688310924,7
2.66E-07,9.1159282126,-30.5113404263,7
-1.95E-07,9.4850102183,-30.790732435,7
5.86E-07,10.014325714,-31.2476268474,7
9.71E-08,9.9330931722,-30.8855592647,7
8.35E-08,9.7753317803,-30.7051116495,7
-2.98E-07,9.6947905287,-31.4310103522,7
6.16E-07,10.0387086927,-31.5228060051,7
-1.48E-07,9.6746321716,-31.1534418413,7
3.94E-07,9.1126463588,-31.3277587749,7
8.46E-07,9.3737404024,-31.0659220294,7
-1.67E-07,9.7015214807,-31.0665541309,7
5.95E-07,9.8907769116,-31.0730642329,7
2.55E-07,9.6069453306,-30.7093701656,7
6.51E-07,9.6783765011,-30.6992720029,7
4.10E-07,9.5266146929,-29.9736843671,7
-4.16E-07,9.1960626663,-30.4263431629,7
3.01E-08,9.5847743473,-30.6967165268,7
1.89E-07,9.8329286731,-30.7008065253,7
-4.99E-07,9.6661476907,-30.6995638467,7
6.74E-08,9.5630325336,-30.7059528542,7
2.19E-07,9.8698914209,-31.0706604168,7
4.63E-07,10.0128950781,-30.9730888547,7
-7.16E-08,10.1038532109,-31.1634871458,7
-7.67E-08,9.7362113157,-33.0775148367,8
-2.41E-07,10.0514599604,-32.9027995508,8
2.97E-07,9.624868324,-32.7134503754,8
-2.85E-07,9.7969847535,-32.5353525666,8
1.37E-07,9.8961415698,-32.9892330746,8
-5.64E-07,9.6531748613,-33.1657872083,8
3.80E-07,9.4898145615,-33.1715106426,8
3.74E-07,9.699340018,-33.0802471478,8
