06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),18:28:61:9e:ab:5c(MMD),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),00:0f:f7:2e:0a:d0(ESOGU-WIFI),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),c4:6e:1f:58:40:d2(DLink_D01),00:26:5a:52:0b:8c(RFKON_115),4c:5e:0c:23:44:33(RFKON2014-Mesh),18:28:61:58:78:6a(Dlink_DAP-1360),1c:87:2c:7e:23:9c(EROGLU-PRI),1c:87:2c:7e:23:9d(EROGLU-PUB),REF_POINT
-67,-63,-48,-66,-32,-65,-65,-73,-41,-59,-69,-57,-66,-82,-74,NaN,NaN,-84,-77,NaN,NaN,NaN,2
-66,-61,-47,-74,-32,-60,-66,-72,-41,-59,-70,-59,-66,-82,-73,-83,-85,-84,-77,NaN,NaN,NaN,2
-67,-67,-47,-74,-32,-60,-65,-73,-42,-66,-70,-58,-66,NaN,-74,-83,-86,NaN,NaN,NaN,NaN,NaN,2
-67,-67,-47,-68,-32,-66,-65,-71,-42,-66,NaN,-57,-67,NaN,-74,NaN,-86,-86,NaN,NaN,NaN,NaN,2
-65,-62,-48,-67,-33,-60,-65,-72,-41,-66,-68,-58,-66,-82,-74,-83,NaN,-86,-82,NaN,NaN,NaN,2
-67,-60,-47,-67,-30,-60,-65,-72,-42,-67,-69,-57,-67,-81,-75,-83,-78,-86,-81,NaN,NaN,NaN,2
-67,-60,-48,-67,-33,-60,-65,-71,-41,-67,-69,-58,-62,-81,-75,-84,-89,-86,-85,NaN,NaN,NaN,2
-67,-65,-48,NaN,-32,-66,-65,-72,-40,-68,-68,-58,-62,NaN,-74,-84,-89,-90,-85,NaN,NaN,NaN,2
-68,-65,-48,-68,-32,-60,-66,-72,-41,-64,-69,-58,NaN,NaN,-75,-81,-89,-90,NaN,NaN,NaN,NaN,2
-67,-63,-48,-65,-32,-60,-65,-71,-41,-66,-68,-58,-66,-81,-75,-81,-88,NaN,-81,NaN,-90,-89,2
-68,-65,-49,-73,-32,-60,-65,-70,-41,-64,-70,-58,-67,-81,-74,NaN,-88,NaN,-81,NaN,-90,-89,2
-68,-65,-88,-71,-32,-72,-65,-71,-41,-60,-89,-57,-67,NaN,-74,NaN,-87,NaN,-82,NaN,NaN,NaN,2
-68,-64,-88,-75,-31,-60,-66,-72,-41,-60,-70,-58,-67,-84,-74,-81,-87,-84,-82,NaN,NaN,NaN,2
-68,-64,-49,-74,-33,-60,-66,-75,-41,-59,-70,-57,-67,-84,-74,-81,-86,-84,-82,NaN,NaN,NaN,2
-68,-63,-48,-71,-33,-60,-64,-72,-42,-46,-70,-57,-67,NaN,-75,-81,-86,-84,-83,NaN,NaN,NaN,2
-69,-63,-48,-72,-33,-67,-65,-73,-41,-60,-70,-57,-67,-79,-75,-81,NaN,NaN,-82,NaN,-89,-90,2
-69,-63,-49,-70,-32,-68,-64,-72,-41,-59,-71,-58,-66,-79,-71,-81,NaN,-83,-82,NaN,-89,-90,2
-69,-63,-47,-71,-32,-59,-65,-72,-42,-59,-71,-58,-67,-83,-78,-81,NaN,-83,-83,NaN,NaN,NaN,2
-68,-63,-47,-70,-29,-59,-66,-71,-41,-59,-71,-57,-67,-74,-74,NaN,-86,NaN,-83,NaN,NaN,NaN,2
-69,-64,-67,-70,-32,-59,-66,-72,-41,-60,-72,-59,-67,-74,-74,NaN,-82,NaN,-84,NaN,NaN,NaN,2
-68,-63,-48,-70,-33,-67,-65,-72,-41,-59,-72,-57,-63,NaN,-74,-84,-88,NaN,-83,NaN,NaN,NaN,2
