@relation 'Sony_Xperia_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-43,-41,-60,-49,-66,?,-71,-64,-71,-63,-60,-76,?,?,?,?,?,?,?,-57,?,?,?,-9.681702,-5.172539,-21.998596,4
-46,-40,-56,-50,-68,-73,-72,-66,-71,-63,-64,?,?,?,?,?,?,?,?,-57,?,?,?,-9.5047,-5.3545,-22.089386,4
-47,-40,-58,-48,-69,-74,-72,-65,-72,-62,-61,?,-69,?,-79,?,?,?,?,-57,?,?,?,-10.301208,-5.172539,-22.361755,4
-43,-42,-60,-49,-66,-74,-73,-67,-74,-64,-63,-77,-69,?,-79,?,?,?,?,-56,?,?,?,-10.212708,-4.899788,-22.543335,4
-46,-38,-61,-50,-67,?,-72,-67,-74,-62,-62,-77,?,?,?,?,?,?,?,-57,?,?,?,-10.389709,-5.081749,-22.270966,4
-45,-40,-59,-50,-67,?,-72,?,?,-64,-62,-78,?,?,?,?,?,?,?,-55,?,?,?,-9.681702,-5.263519,-22.089386,4
-47,-40,-60,-50,-67,-69,-72,-64,-73,-64,-63,-78,?,?,-83,?,?,?,?,-57,?,?,?,-9.858704,-4.809189,-22.361755,4
-47,-40,-61,-50,-67,-69,?,-68,-73,-63,-63,-78,?,?,-81,?,?,?,?,-57,?,?,?,-9.416199,-4.900169,-22.815895,4
-46,-40,-62,-50,-67,-69,-70,-68,-75,-64,-64,?,-73,?,-79,?,?,?,?,-58,?,?,?,-10.124207,-4.264069,-21.817017,4
-80,-40,-63,-50,-66,-69,-71,-68,-76,-63,-63,-77,-73,?,-79,?,?,?,?,-54,?,?,?,-9.416199,-4.627609,-22.452736,4
-44,-41,-59,-53,-70,-65,-68,-68,-65,-63,-50,-73,-67,?,-83,?,?,-80,?,-50,?,?,?,-5.757713,-0.526428,-27.742767,5
-44,-37,-55,-53,-70,?,-70,-66,-65,-57,-53,-72,-66,-91,-83,?,?,-80,?,-49,?,?,?,-5.743599,-0.516319,-27.72789,5
-38,-35,-55,-56,-71,?,-69,-65,-63,-61,-52,-72,-66,-91,-78,?,?,-79,-82,-54,?,?,?,-5.960083,-0.406837,-27.732849,5
-39,-38,-55,-54,-71,?,-69,-64,-63,-61,-52,-72,?,?,-78,?,?,-79,-82,-52,?,?,?,-5.434799,-0.631523,-28.174019,5
-35,-39,-56,-53,-70,?,-69,-62,-63,-59,-52,?,-68,?,?,?,?,?,?,-53,?,?,?,-5.965424,-0.722313,-27.810669,5
-37,-39,-55,-54,-71,?,-69,-63,-63,-60,-52,?,-67,?,?,?,?,?,?,-54,?,?,?,-5.611801,-0.358772,-27.810669,5
-38,-41,-56,-54,-71,?,-69,-62,-63,-60,-54,?,-67,?,?,?,?,?,?,-53,?,?,?,-5.43499,0.095177,-27.992249,5
-37,-40,-56,-56,-71,-64,-70,-62,-63,-62,-54,?,-68,?,?,?,?,?,?,-54,?,?,?,-5.700302,-0.086403,-27.5383,5
-37,-39,-56,-54,-69,-64,-81,-64,-63,-59,-52,?,-68,?,?,?,?,?,?,-52,?,?,?,-5.965614,-0.540543,-27.901459,5
-37,-39,-57,-54,-69,-64,-81,-64,-63,-59,-54,?,?,?,?,?,?,?,?,-53,?,?,?,-5.5233,-1.085663,-28.083229,5
-38,-39,-59,-54,-70,-65,-74,-65,-63,-61,-52,?,-68,?,?,?,?,?,?,-53,?,?,?,-5.257988,-0.994873,-27.992439,5
-38,-39,-56,-52,-69,-65,-70,-65,-61,-59,-52,?,-68,?,?,?,-87,?,?,-52,?,?,?,-5.434799,0.095367,-28.083038,5
-37,-39,-55,-54,-63,-71,-70,-63,-62,-59,-52,?,-67,?,-80,?,-87,?,?,-53,?,?,?,-5.523109,-0.177002,-28.355598,5
-39,-39,-55,-55,-70,-65,-71,-65,-63,-59,-51,?,-66,?,-80,?,?,?,?,-53,?,?,?,-4.992485,-0.358582,-28.264809,5
-37,-39,-55,-57,-70,-63,-70,-64,-62,-59,-53,?,-66,?,-80,?,?,?,?,-53,?,?,?,-5.169487,-0.358963,-27.629089,5
-36,-39,-54,-57,-70,-66,-70,-64,-63,?,-53,-72,?,?,-80,?,?,-81,?,-53,?,?,?,-5.434799,-0.904083,-27.81086,5
-37,-36,-56,-53,-69,-66,-70,-54,-63,-57,-53,-72,-67,?,-80,?,?,-81,?,-52,?,?,?,-5.611992,-0.358963,-27.901649,5
-37,-37,-55,-53,-69,?,-67,-64,-66,-59,-51,-72,-67,?,-80,?,?,?,?,-53,?,?,?,-6.142616,-0.267982,-27.810669,5
-43,-40,-58,-57,-70,?,-69,-65,-64,-59,-54,-72,?,?,?,?,?,?,?,-53,?,?,?,-5.700111,-0.904083,-27.719879,5
-43,-39,-48,-53,-69,?,-69,-63,-62,-59,-50,?,?,?,?,?,-89,?,?,-53,?,?,?,-5.61161,-0.540733,-28.355408,5
-36,-38,-55,-52,-69,-63,-68,-63,-65,-60,-50,-71,?,?,?,?,-89,?,?,-52,?,?,?,-5.699921,-0.358772,-28.536987,5
-38,-39,-55,-53,-71,-64,-70,-63,-61,-61,-53,-71,?,?,?,?,?,?,?,-53,?,?,?,-5.965424,-0.722504,-28.264809,5
-37,-39,-56,-55,-70,-65,-70,-64,-63,-59,-53,-72,?,?,-78,-88,?,?,?,-53,?,?,?,-5.788612,-0.359154,-27.901649,5
-37,-39,-56,-56,-71,-65,-71,-64,-62,-59,-54,-72,?,?,-78,-88,?,?,?,-53,?,?,?,-5.346298,-0.358963,-28.264809,5
-38,-39,-56,-55,-71,-65,-71,-63,-63,-59,-50,-74,?,?,?,?,?,?,-81,-54,?,?,?,-5.346298,-1.086044,-27.72007,5
-38,-39,-56,-55,-70,-65,-71,-64,-63,-60,-52,-74,?,?,?,?,?,-79,-84,-53,?,?,?,-5.523491,-0.631714,-27.62928,5
-36,-39,-54,-51,-68,?,-69,-63,-62,-58,-61,-71,-66,-87,?,?,?,-79,-83,-52,?,?,?,-6.230736,-0.631523,-27.901459,5
-37,-38,-55,-51,-69,-64,-69,-63,-61,-59,-50,-71,-66,-87,-67,?,?,-80,-83,-52,?,?,?,-5.611801,-0.813103,-27.901459,5
-39,-38,-58,-51,-69,-65,-69,-64,-63,-59,-46,-72,?,?,-67,?,?,-80,?,-53,?,?,?,-5.346298,-0.813293,-27.5383,5
-42,-39,-55,-51,-69,-65,-70,-64,-62,-59,-51,-72,?,?,?,?,?,?,?,-52,?,?,?,-5.61161,-0.722504,-27.5383,5
-36,-38,-54,-51,-69,-63,-70,-61,-61,-58,-52,?,?,?,-66,?,?,?,?,-52,?,?,?,-5.523109,-0.359344,-27.719879,5
-37,-40,-57,-51,-70,-64,-69,-64,-63,-61,-51,?,?,?,-78,?,?,?,?,-54,?,?,?,-5.965233,-0.086784,-27.72007,5
-37,-40,-55,-53,-70,-64,-70,-63,-61,-60,-51,-72,?,?,-78,?,?,?,?,-53,?,?,?,-5.965424,-0.268173,-27.992439,5
-39,-41,-55,-53,-70,?,-70,-64,-66,-58,-51,-72,-67,-73,?,?,?,?,?,-53,?,?,?,-5.700302,-0.631523,-27.72007,5
-37,-40,-55,-53,-69,-64,-71,-63,-66,-59,-52,-72,-67,-73,-79,?,?,?,?,-52,?,?,?,-5.877113,-0.540733,-27.992439,5
-36,-38,-54,-54,-62,-64,-75,-62,?,-66,-51,-71,?,?,-79,?,?,?,-82,-52,?,?,?,-6.230736,-0.449753,-27.992439,5
-38,-41,-55,-55,-70,-64,-70,-63,-63,-62,-52,-71,?,?,?,?,?,?,-82,-53,?,?,?,-5.876923,-0.540543,-27.81086,5
-38,-39,-53,-55,-62,-65,-70,-63,-63,-60,-52,?,?,?,-77,?,?,?,-85,-52,?,?,?,-5.61161,-0.177193,-27.629089,5
-36,-38,-54,-52,-69,-62,?,-62,-62,-58,-52,-69,?,?,-77,?,?,?,-85,-52,?,?,?,-5.61161,-0.994682,-27.992249,5
-36,-39,-55,-52,-71,-63,-75,-64,-62,-58,-53,-72,?,?,-77,?,?,?,?,-51,?,?,?,-5.788612,-0.449753,-27.5383,5
-34,-35,-53,-49,-65,-65,-60,-52,?,-50,-53,?,-64,?,?,?,?,-73,?,-53,?,?,?,-10.655022,-3.71933,-30.172729,6
-33,-36,-53,-49,-66,-65,-60,-52,?,-74,-50,-75,?,?,?,?,?,-73,?,-53,?,?,?,-9.858704,-3.9011,-29.990959,6
-33,-37,-53,-51,-66,-65,-60,-52,?,-50,-50,-75,?,?,?,?,?,-75,?,-53,?,?,?,-9.858704,-4.627609,-30.081749,6
-33,-37,-55,-47,-67,-65,-60,-52,-64,-51,-50,-75,-64,?,?,?,?,-75,?,-53,?,?,?,-9.681702,-3.9011,-29.990768,6
-35,-38,-54,-49,-66,?,-59,-51,-68,-50,-50,?,-67,?,-78,?,?,?,?,-53,?,?,?,-9.681702,-3.53775,-30.172539,6
-33,-83,-53,-49,-67,?,-60,-52,-68,-52,-52,?,-65,?,-78,?,?,?,?,-54,?,?,?,-10.035706,-4.08268,-30.263329,6
-32,-37,-53,?,-64,-63,-57,-52,?,-51,-49,?,-65,?,-73,?,?,?,-83,-53,?,?,?,-10.035706,-4.899979,-30.535698,6
-73,-91,-52,-47,-66,-65,-65,-52,?,-50,-49,-76,-66,?,-72,?,?,?,-83,-53,?,-92,?,-9.681702,-4.536629,-30.535889,6
-33,-36,-52,-47,-66,-64,-59,-52,-67,-55,-49,-73,-66,?,-71,?,?,?,?,-53,?,-92,?,-9.593201,-3.991699,-30.808258,6
-33,-37,-54,-47,-66,-65,-59,-52,-66,-52,-50,-73,?,-82,-71,?,?,?,?,-54,?,?,?,-9.593201,-4.718399,-30.263519,6
-33,-37,-53,-47,-66,-65,-59,-52,-66,-50,-51,?,?,-80,?,?,?,?,?,-53,?,?,?,-9.239197,-4.26445,-29.627609,6
-33,-37,-53,-47,-66,?,-61,-52,-66,-50,-50,?,?,-80,-74,?,?,?,?,-53,?,?,?,-9.681702,-4.08268,-29.990959,6
-33,-37,-53,?,-66,?,-83,-52,?,-55,-49,?,?,-83,-92,?,?,?,?,-53,?,?,?,-9.858704,-4.536819,-29.900169,6
-33,-37,-52,-49,-66,-64,-60,-52,?,-53,-50,?,-67,-83,-69,?,?,?,?,-51,?,?,?,-9.327698,-5.08194,-30.899048,6
-33,-37,-52,-48,-66,-65,-62,-52,-63,-55,-51,?,-67,-83,-69,?,?,?,?,-53,?,?,?,-9.239197,-3.99189,-30.899048,6
-33,-37,-53,-48,-67,-65,-60,-52,-66,-51,-51,?,?,?,-69,?,?,-77,?,-53,?,?,?,-9.770203,-4.173851,-31.080627,6
-34,-37,-52,-49,-66,?,-60,-52,-66,-51,-50,?,-65,?,-69,?,?,-77,?,-53,?,?,?,-9.947205,-4.536819,-30.445099,6
-32,-36,-52,-46,-65,-64,-58,-51,-70,-49,-49,?,-64,?,-70,?,?,?,?,-52,?,?,?,-9.770203,-4.718399,-30.172729,6
-33,-37,-52,-47,-66,-64,-61,-51,-63,-50,-50,?,-65,?,-75,?,?,?,?,-53,?,?,?,-10.035706,-4.35524,-30.08194,6
-33,-38,-51,-47,-68,?,-60,-46,-66,-49,-50,-74,-65,?,-75,?,?,?,?,-53,?,?,?,-9.858704,-4.80938,-30.172539,6
-33,-37,-53,-47,-65,-63,-59,-52,-59,-56,-51,-74,?,?,?,-85,?,?,-83,-53,?,?,?,-9.858704,-4.536629,-30.626488,6
-33,-37,-53,-47,-67,-63,-60,-52,-63,-54,-51,?,-62,-81,?,-85,?,?,-83,-53,?,?,?,-9.327698,-4.44603,-30.717468,6
-33,-37,-51,-48,-66,-65,-64,-52,-65,-51,-53,?,-65,-81,?,?,?,?,?,-53,?,?,?,-9.770203,-4.26445,-30.808258,6
-33,-37,-52,-46,-66,-65,-64,-51,-64,-51,-53,?,-65,-81,-71,?,?,-79,?,-52,?,?,?,-9.593201,-3.900909,-30.535889,6
-33,-37,-54,-48,-67,-65,-60,-52,-64,-50,-50,-75,-64,-82,-72,?,?,-76,?,-53,?,?,?,-9.681702,-3.81012,-30.263329,6
-33,-37,-53,-47,-66,-65,-59,-52,-65,-51,-49,-75,-66,-82,-72,?,?,-76,?,-53,?,?,?,-9.858704,-4.264069,-30.354309,6
-33,-37,-52,-47,-67,-65,-60,-47,-64,-51,-50,?,-66,?,?,?,?,?,?,-53,?,?,?,-10.301018,-4.536629,-30.172539,6
-33,-38,-51,-47,-66,-64,-58,-51,-64,-54,-50,?,?,-80,?,?,?,?,?,-52,?,?,?,-10.212517,-4.17366,-30.354309,6
-31,-37,-51,-46,-66,-65,-58,-51,?,-54,-49,?,?,-79,?,?,-86,?,?,-52,?,?,?,-9.239197,-4.08287,-30.263519,6
-33,-38,-53,-47,-62,-65,-59,-52,-65,-51,-50,?,?,-79,?,?,-86,?,?,-52,?,?,?,-9.327698,-3.992081,-30.263519,6
-33,-38,-53,-47,-66,-65,-59,-52,-63,-51,-50,?,-66,?,?,?,?,?,?,-51,?,?,?,-9.858704,-3.99189,-30.808258,6
-33,-38,-53,-51,-67,-65,-59,-52,-63,-51,-50,?,-65,?,-75,?,?,?,?,-53,?,?,?,-9.770203,-4.173279,-30.444908,6
-33,-38,-53,-46,-66,?,-61,-52,-65,-51,-49,?,-66,?,-75,?,?,?,?,-51,?,?,?,-9.770203,-4.355049,-30.263329,6
-33,-37,-53,-46,-60,?,-61,-52,-65,-51,-49,-74,-66,-81,-75,?,?,?,?,-50,?,?,?,-9.947205,-4.536819,-30.263329,6
-33,-37,-52,-48,-67,-65,-61,-52,-65,-50,-50,-74,-65,-81,-75,?,?,?,?,-51,?,?,?,-10.212708,-4.536629,-30.263519,6
-33,-37,-51,-48,-67,-64,-60,-51,-65,-51,-49,?,-65,?,?,?,?,?,?,-50,?,?,?,-9.416199,-4.536629,-30.626678,6
-33,-37,-46,-50,-67,-65,-60,-52,-64,-50,-49,-74,-66,?,-74,?,?,?,?,-50,?,?,?,-10.035706,-4.718399,-30.354118,6
-36,-38,-52,-49,-67,-65,-60,-52,-66,-50,-49,-74,-66,-81,-74,?,?,-74,?,-50,?,?,?,-10.301018,-4.536438,-30.445099,6
-33,-39,-52,-51,-66,?,-61,-51,-65,-51,-49,?,?,-81,-72,?,?,-74,?,-51,?,?,?,-9.947014,-4.082489,-30.354309,6
-33,-37,-52,-49,-67,-64,-61,-51,-66,-51,-49,?,-66,-82,-81,?,?,-74,-81,-51,?,?,?,-10.035706,-4.899979,-29.990959,6
-38,-34,-61,-50,-65,-72,-69,-63,-58,-54,-49,-68,-62,-79,-70,?,?,?,?,-56,?,?,-84,-6.67305,-1.449394,-30.989838,7
-38,-71,-59,-54,-65,-67,-64,-65,-59,-52,-50,-68,-59,-66,-67,?,?,-72,?,-44,?,?,?,-6.76136,-1.539993,-30.445099,7
-37,-38,-57,-54,-66,-64,-64,-70,-56,-55,-49,-70,-60,-75,-67,?,?,-73,?,-44,?,?,?,-6.495667,-1.085663,-30.626678,7
-35,-40,-58,-51,-69,-64,-66,-65,-58,-54,-49,-68,-59,-75,-55,?,?,-73,?,-44,?,?,?,-6.672668,-1.539803,-30.626488,7
-35,-39,-49,-52,-68,-64,-66,-64,-58,-53,-48,-68,-60,?,-55,-83,?,?,?,-45,?,?,?,-6.318855,-1.085854,-30.717278,7
-35,-38,-58,-51,-66,?,-65,-67,-58,-90,-48,?,-59,?,?,-83,?,-71,?,-45,?,?,?,-6.672668,-0.540733,-30.717468,7
-35,-38,-59,-54,-67,-64,-64,-64,-58,-53,-48,?,-58,?,-68,?,?,-71,?,-42,?,?,?,-6.67305,-0.994873,-30.445099,7
-35,-41,-58,-70,-68,-64,-64,-68,-59,-53,-49,-69,-60,-77,-68,?,?,?,?,-44,?,?,?,-6.142616,-0.994873,-30.808258,7
-35,-80,-59,-54,-68,?,-65,-68,-57,-53,-48,-69,-59,-77,?,?,-84,?,?,-44,?,?,?,-5.965614,-0.813103,-30.808258,7
-36,-40,-58,-54,-68,?,-65,-68,-58,-58,-49,?,-59,?,?,?,-84,?,?,-42,?,?,-85,-6.76136,-0.994873,-30.535698,7
-35,-41,-59,-51,-69,-68,-65,?,-56,-53,-48,-71,-59,-78,-68,?,?,?,?,-45,?,?,-85,-6.495857,-0.540543,-30.626488,7
-34,-39,-59,-51,-68,-68,-65,-64,-56,-56,-47,-69,?,-78,-65,?,?,?,?,-43,?,-81,-83,-6.938553,-0.631714,-30.808258,7
-34,-39,-58,-51,-68,?,-65,-64,-56,-54,-48,-69,-60,-64,-68,?,?,-70,?,-45,?,-83,-84,-6.849861,-0.540733,-30.445099,7
-34,-40,-56,-51,-64,-62,-65,-63,-57,-55,-47,-70,-60,-80,-68,?,?,-71,?,-44,-87,-83,-84,-6.849861,-0.268173,-30.717468,7
-35,-41,-50,-50,-69,-65,-65,-66,-58,-53,-46,-71,-60,-80,?,?,?,-71,-82,-45,-87,?,?,-6.761551,-0.631714,-30.989838,7
-34,-41,-54,-50,-68,-65,-64,-62,-57,-56,-48,-71,-90,-78,-68,?,?,-71,-82,-43,?,?,?,-6.407928,-0.722313,-30.898857,7
-35,-41,-55,-50,-69,-66,-67,-62,-58,-52,-48,?,-90,-78,-68,?,?,?,?,-43,?,?,-83,-6.584358,-1.085472,-31.352806,7
-35,-39,-56,-47,-66,-66,-65,-62,-58,-55,-47,?,-59,-78,?,?,?,?,?,-45,?,?,-83,-6.407356,-0.904083,-30.898857,7
-35,-39,-48,-50,-66,-64,-64,?,-58,-53,-47,-71,-58,?,-69,?,?,?,?,-45,?,?,?,-6.230736,-1.086044,-30.535698,7
-34,-39,-57,-52,-66,-65,-66,?,-59,-53,-47,-72,-59,-78,-69,?,?,?,?,-44,?,?,?,-6.142235,-0.995064,-30.445099,7
-35,-41,-55,-51,-62,-65,-66,-69,-59,-57,-47,-70,-59,-78,-69,?,?,?,?,-45,?,?,?,-6.053734,-0.813293,-30.717468,7
-35,-39,-57,-49,-67,?,-65,-69,-58,-55,-47,-70,-59,-77,-68,?,?,?,?,-43,?,?,?,-6.850052,-0.631332,-30.445099,7
-35,-40,-57,-49,-67,-65,-66,-70,-58,-54,-47,-71,-59,-78,-69,?,?,-74,?,-44,?,-81,-84,-6.761742,-1.085663,-30.535889,7
-35,-40,-58,-51,-67,-68,-65,-63,-58,-53,-47,-71,-59,-78,-70,?,?,-73,-83,-45,?,-83,-77,-6.849861,-0.904083,-30.989838,7
-35,-39,-55,-50,-67,-66,-66,-68,-58,-57,-47,-70,-59,-66,-69,-86,?,-72,-83,-43,?,-83,-77,-7.203865,-0.722313,-31.080627,7
-35,-43,-58,-50,-66,-66,-66,-72,-58,-53,-47,-70,-59,-66,-69,-86,?,-72,?,-43,?,-83,?,-6.584549,-0.722313,-31.171417,7
-35,-43,-57,-50,-67,-66,-66,-69,-57,-54,-48,-70,-58,-78,-76,?,?,?,?,-44,?,?,?,-6.319237,-0.813103,-30.899048,7
-34,-40,-51,-50,-67,-65,-71,-68,-57,-56,-52,?,-59,-78,-68,?,?,?,?,-45,?,?,?,-6.58474,-0.540543,-30.808258,7
-36,-41,-50,-49,-67,-65,-65,-69,-59,-53,-47,?,-59,?,-68,?,?,?,?,-44,?,?,-87,-7.026863,-0.449944,-30.899048,7
-36,-40,-57,-49,-67,?,-69,-68,-59,-56,-44,?,-60,?,-68,?,?,?,?,-43,?,?,-85,-6.584549,-0.540543,-31.352997,7
-36,-39,-55,-49,-67,?,-68,-68,-59,-54,-48,?,-60,?,-68,?,-84,?,?,-43,?,?,-85,-6.67305,-1.085663,-31.080627,7
-35,-39,-55,-50,-67,-65,-66,-67,-57,-53,-48,-70,?,-75,-69,?,-84,?,?,-42,?,?,?,-7.026863,-1.085663,-30.445099,7
-36,-40,-55,-50,-67,-65,-67,-67,-57,-57,-47,-70,-59,-77,-75,?,?,?,?,-42,?,-86,-86,-6.496048,-1.176643,-30.081749,7
-36,-39,-48,-51,-67,-65,-65,-63,-57,-54,-47,?,-58,-77,-67,?,?,-74,?,-43,?,-86,-86,-6.496048,-0.722504,-30.535698,7
-35,-39,-52,-51,-67,-65,-67,-63,-57,-53,-47,?,-59,?,-67,?,?,-74,?,-44,?,?,?,-6.584549,-1.085663,-31.080627,7
-35,-39,-48,-51,-67,-65,-66,-63,?,-53,-48,?,-60,?,?,?,?,-74,?,-45,?,?,?,-6.849861,-1.085854,-30.717468,7
-35,-39,-57,-50,-67,?,-67,-66,?,-57,-48,-69,-60,?,?,?,?,-74,?,-42,?,?,?,-6.76136,-0.722504,-30.535889,7
-35,-39,-56,-51,-67,-67,-68,-69,-58,-58,-48,-69,-60,?,-66,?,?,-75,?,-44,?,?,?,-6.319237,-0.813293,-30.717468,7
-35,-41,-56,-51,-67,-65,-68,-70,-58,-58,-48,-69,-59,-76,-66,?,?,-75,?,-43,?,-85,-85,-6.319237,-0.994873,-30.263329,7
-35,-40,-57,-49,-66,-65,?,-70,-58,-53,-48,?,-59,-76,?,?,?,?,?,-44,?,-85,-85,-6.407547,-0.813103,-30.989838,7
-37,-37,-66,-54,-60,-73,-64,-51,-53,-45,-53,-69,-64,-88,-74,-85,-84,-76,-81,-62,-89,?,?,-6.761551,-3.53775,-31.897736,8
-38,-31,-63,-50,-59,-71,-64,-53,-55,-46,-43,-68,-62,-85,-70,-84,?,?,-86,-51,-87,?,?,-6.495857,-3.81012,-32.170105,8
-38,-32,-65,-50,-58,-71,-64,-54,-55,-49,-42,-68,-64,-80,-70,-84,?,?,-86,-50,-87,-91,-88,-6.67305,-3.81012,-31.897736,8
-40,-32,-56,-49,-59,?,-61,-56,-54,-47,-42,?,-62,-80,-72,-84,-81,-77,?,-52,?,-91,-88,-6.584358,-3.81031,-32.170105,8
-39,-32,-52,-50,-59,?,-62,-54,-57,-47,-45,-63,-60,-80,-72,-84,-81,-77,?,-50,?,-88,?,-6.142044,-4.264641,-32.170105,8
-39,-32,-67,-49,-59,-73,-63,-55,-54,-49,-43,-63,-60,-78,-72,-85,-81,-74,?,-53,?,-88,?,-6.230736,-3.719521,-31.806946,8
-38,-31,-63,-49,-59,-73,-63,-53,-54,-48,-43,-64,-63,-82,-73,-85,-81,-76,-81,-50,-87,?,?,-6.407738,-3.53775,-32.079315,8
-40,-33,-63,-50,-59,?,-63,-54,-55,-49,-43,-63,-62,-82,-72,?,?,-75,-81,-49,-93,-88,-89,-6.584549,-3.99189,-32.170105,8
-38,-33,-63,-50,-59,-71,-60,-55,-55,-50,-42,-63,-62,-79,-69,?,?,-77,?,-50,-86,-90,-88,-6.053734,-3.99189,-31.897736,8
-39,-32,-59,-50,-59,-71,-62,-55,-56,-51,-41,-61,-60,-79,-69,?,?,-77,?,-50,-91,-90,-88,-6.053925,-3.356171,-32.170105,8
-39,-32,-61,-49,-58,-72,-62,-56,-54,-51,-42,-64,-60,-78,-70,?,-81,-77,?,-51,-91,?,-87,-6.496048,-3.992081,-32.170105,8
-38,-34,-61,-48,-58,-72,-62,-56,-59,-48,-43,-64,?,-78,-70,?,-81,?,?,-50,?,?,-87,-6.230927,-4.35524,-31.988525,8
-42,-32,-54,-49,-60,-69,-65,-61,-56,-47,-46,-66,-65,-80,-69,-82,?,-75,-84,-51,?,?,?,-6.142426,-3.53775,-32.079315,8
-38,-28,-67,-49,-58,-69,-60,-58,-55,-49,-46,-68,-58,-81,-72,-82,?,-75,-84,-50,?,?,?,-6.142235,-3.174591,-31.716156,8
-38,-33,-61,-64,-58,-71,-63,-57,-53,-52,-53,-68,-68,-82,-71,?,?,?,?,-51,?,?,?,-6.053734,-3.265381,-31.988525,8
-40,-31,-61,-50,-58,-71,-64,-54,-56,-48,-42,-64,-57,-82,-71,?,?,?,?,-51,?,?,?,-5.788612,-3.53775,-32.442665,8
-39,-32,-60,-51,-58,?,-60,-67,-54,-49,-44,-64,-61,-79,?,-83,?,-77,?,-52,?,?,?,-6.142426,-3.53775,-32.533455,8
-38,-32,-61,-51,-58,?,-63,-53,-56,-50,-43,?,-60,-82,?,-83,?,-74,?,-50,?,-88,-88,-6.496048,-3.174591,-32.079315,8
-38,-32,-61,-51,-58,-73,-62,-55,-56,-49,-42,?,-60,-82,-69,-83,?,-75,?,-51,?,-87,-88,-6.230927,-3.356171,-31.806946,8
-40,-32,-65,-51,-59,-70,-63,-55,-56,-48,-43,-67,-61,?,-69,-83,-80,-74,?,-51,-87,-87,?,-6.407356,-3.174591,-31.897736,8
-38,-33,-60,-50,-58,-72,-63,-53,-56,-48,-43,-62,-90,-81,?,-84,-80,-76,?,-52,-90,-88,?,-6.938362,-3.44696,-32.624054,8
-39,-33,-54,-51,-58,-70,-62,-49,-56,-49,-42,-63,-62,-81,?,-84,-80,-77,?,-51,-91,-89,-88,-6.938553,-3.62854,-32.442474,8
-38,-32,-65,-51,-58,-71,-63,-54,-56,-47,-43,-63,-62,-79,-72,-84,-81,-76,-83,-51,-86,-89,-88,-6.938171,-3.71933,-32.533264,8
-41,-32,-62,-51,-58,-71,-63,-54,-56,-48,-43,-62,-62,-80,-72,-84,-82,-76,-83,-51,-86,?,?,-6.584167,-4.173279,-32.533264,8
-39,-32,-64,-62,-58,-70,-63,-53,-57,-48,-43,-63,-62,-80,-72,?,-82,-76,?,-51,?,?,?,-6.495667,-4.082489,-32.170105,8
-44,-32,-54,-50,-58,-72,-63,-55,-57,-49,-43,-63,-61,?,-72,?,?,?,?,-51,?,?,?,-6.672668,-3.9011,-32.260895,8
-39,-81,-62,-50,-58,-72,-65,-54,-55,-49,-43,-63,-62,-79,?,?,?,-74,?,-51,?,?,?,-6.672859,-4.17366,-32.170105,8
-39,-32,-63,-49,-58,-72,-63,-53,-55,-48,-47,-63,-62,-79,-72,?,?,-74,-82,-51,?,?,?,-7.380676,-3.71933,-31.988525,8
-38,-32,-63,-48,-58,-71,-63,-55,-56,-47,-47,-62,-60,-79,-76,?,?,-74,-82,-51,?,?,?,-6.76136,-3.53775,-32.260895,8
-38,-32,-63,-50,-58,-70,-60,-54,-55,-50,-43,-62,-62,-79,-71,?,?,-74,?,-51,?,?,?,-6.76136,-3.265381,-32.442474,8
