GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
2.01E-07,9.9259428914,-32.5243872984,8
1.64E-07,10.3807801117,-32.8991697674,8
-7.98E-07,10.2141168888,-33.4385539921,8
-2.77E-07,10.3235852606,-33.0744285858,8
-6.97E-07,11.8588718024,-31.3895749715,9
5.76E-07,11.7526068457,-30.6701243673,9
6.42E-07,11.5046422534,-29.9372062914,9
-7.37E-08,12.0674232993,-30.3872840377,9
-5.89E-08,12.313884309,-30.4853660298,9
-1.55E-08,11.976454752,-30.7490316182,9
4.39E-07,12.0789412151,-30.748132176,9
3.09E-07,12.0745078928,-30.5670456078,9
7.72E-07,11.9688087516,-30.569728934,9
1.99E-08,12.2971728731,-30.671284895,9
-6.08E-07,11.8837426691,-30.7497805523,9
-3.89E-07,11.8003504392,-30.4756620356,9
-4.82E-07,12.0462008487,-30.845027154,9
-6.15E-07,11.825619903,-31.1338466359,9
3.07E-07,11.2998247269,-31.1220484449,9
7.13E-07,12.1409735646,-31.0254886727,9
2.83E-09,12.2725838349,-31.2000969196,9
6.53E-07,12.12279798,-31.1032963678,9
4.27E-07,11.8042940601,-30.9279923711,9
2.77E-07,11.7968438128,-30.6578543266,9
-2.58E-07,12.1018508104,-30.9473295761,9
4.52E-08,12.185817335,-31.0409203483,9
-2.19E-07,12.4221531387,-30.9346727785,9
-1.75E-07,12.3266126543,-31.2982486124,9
-6.66E-07,11.6917274534,-30.6606582208,9
-5.70E-07,11.6779828444,-30.3023529328,9
-4.56E-07,11.5398401553,-30.1094058199,9
-7.06E-07,11.4014136403,-30.4635439799,9
1.32E-07,11.6303621608,-31.0155569034,9
-1.36E-08,11.7915930933,-30.7488348904,9
4.44E-07,12.0218773912,-31.214124156,9
-4.12E-07,12.0219227052,-30.852441267,9
2.02E-07,11.9678629478,-30.3892847692,9
2.89E-07,12.1403764746,-30.4821054686,9
-5.35E-08,11.839627378,-30.8526281842,9
-6.35E-08,12.198248744,-31.1259612554,9
-3.31E-07,11.7476398658,-31.0337105122,9
-1.60E-07,12.3461619856,-30.8403761249,9
-4.94E-07,12.7696021807,-30.3967860927,9
3.81E-07,12.4877081628,-30.7596930183,9
3.06E-07,10.1790330082,-26.0266360396,10
1.50E-07,10.1172155545,-26.1195331112,10
-2.99E-07,9.4232985412,-26.750872317,10
1.55E-07,10.2523059412,-27.11741107,10
5.11E-07,9.7907401798,-26.3871216085,10
-3.21E-07,9.8432379411,-26.754052542,10
2.79E-07,10.1604284157,-26.0346092944,10
-4.58E-07,10.3970595871,-25.8435402683,10
-6.66E-07,10.1091559052,-26.3829826335,10
1.20E-07,9.9236544884,-26.1092657071,10
2.79E-07,9.5736424407,-26.1046223606,10
-1.98E-07,9.7763656281,-26.4719066172,10
-3.19E-07,10.565999533,-26.7518129771,10
1.86E-07,9.9045799145,-26.3900637359,10
-1.52E-07,9.796282729,-26.5656292755,10
4.69E-07,10.3128341968,-26.2078262596,10
-3.06E-07,9.9934879213,-25.75157297,10
-4.33E-08,9.7083112445,-25.7458617888,10
-5.15E-07,9.9410458758,-26.8346986131,10
5.08E-07,10.1598736457,-26.2868065356,10
5.08E-08,9.572088058,-25.5586968539,10
4.77E-07,9.878896812,-25.83996935,10
3.54E-07,9.8914607796,-26.486918178,10
-6.24E-07,10.4148471473,-26.8469980813,10
5.24E-08,9.9554200474,-27.1105080381,10
-6.22E-07,9.9367047795,-26.7460254076,10
3.97E-09,9.7813085511,-26.8367143308,10
-3.71E-07,9.6348725357,-26.2030093872,10
3.17E-07,9.7719226638,-25.5724695955,10
2.90E-07,10.0127562143,-26.0280578491,10
2.07E-07,10.6508261551,-26.4895318632,10
-3.93E-07,10.725430414,-26.0368441808,10
8.13E-08,10.5800558079,-25.9472805569,10
5.30E-07,10.4945624081,-26.0360268898,10
-5.24E-07,10.3892294103,-26.7504200976,10
4.99E-08,10.3920525803,-26.5684804509,10
