06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-71,-81,-69,NaN,-77,-51,-38,-74,-64,-63,-65,-69,-64,-77,-86,-89,NaN,NaN,NaN,NaN,2
-71,-81,NaN,-74,-72,-90,-39,-70,-63,-63,-65,-69,-66,-77,-86,-89,NaN,NaN,NaN,NaN,2
-70,-80,-69,-74,-69,-90,-38,-68,-63,-56,-65,-71,-65,-77,-87,NaN,NaN,NaN,NaN,NaN,2
-70,-81,-69,NaN,-69,-56,-39,-68,-63,-86,-67,-69,-66,-76,-89,NaN,-77,-77,NaN,NaN,2
-70,-79,-70,-74,-70,-52,-38,-67,-59,-58,-64,-70,-65,-77,-89,NaN,-77,-79,NaN,NaN,2
-70,-79,-70,-74,-69,-53,-38,-66,-64,-56,-65,-69,-65,-77,-86,NaN,-77,-79,NaN,NaN,2
-70,-80,-71,-75,-69,-86,-38,-68,-58,-55,-65,-75,-75,-75,-86,NaN,-77,-77,NaN,NaN,2
-70,-80,-71,-75,-71,-50,-38,-69,-58,-57,-65,-69,-65,-76,-88,NaN,NaN,-77,NaN,NaN,2
-70,-80,NaN,-74,-67,-51,-38,-69,-60,-59,-65,-76,-64,-76,-88,-88,-73,NaN,NaN,NaN,2
-70,-80,-71,-74,-71,-50,-38,-68,-61,-52,-64,-71,-75,-76,NaN,-88,-72,NaN,NaN,NaN,2
-70,-79,-71,-75,-68,-51,-38,-68,-58,-56,-66,-69,-74,-76,NaN,-89,-73,-78,NaN,-91,2
-69,-78,-87,-75,-67,-51,-38,-85,-62,-57,-64,-75,-65,-76,NaN,-89,-73,-79,NaN,-91,2
-69,-78,-72,-75,-74,-51,-38,-69,-60,-56,-64,-69,-73,-80,-88,NaN,-73,-78,NaN,NaN,2
-68,NaN,-72,-75,-67,-51,-38,-69,-89,-57,-66,-70,-64,-79,-88,NaN,NaN,-78,NaN,NaN,2
-69,NaN,-72,-75,-70,-50,-38,NaN,-58,-57,-63,-69,-64,-76,-86,NaN,NaN,-78,NaN,NaN,2
-69,-80,-72,NaN,-72,-50,-38,-68,-60,-55,-72,-69,-64,-78,-86,NaN,NaN,-78,NaN,NaN,2
-69,-80,-72,NaN,-72,-54,-38,-68,-60,-54,-66,-69,-65,-76,NaN,NaN,NaN,-78,NaN,NaN,2
-69,NaN,-73,NaN,-69,-54,-43,-68,-59,-56,-65,-69,-65,-76,NaN,NaN,NaN,-78,NaN,NaN,2
-69,-79,-72,-74,-69,-50,-38,-68,-59,-52,-66,-71,-74,-78,NaN,NaN,NaN,NaN,NaN,NaN,2
-70,-79,-71,-74,-68,-50,-38,NaN,-60,-54,-63,-72,-74,-77,NaN,NaN,NaN,-76,NaN,NaN,2
