X,Y,Z
-7.830810547,-6.628791809,-25.10623932
-8.096313477,-6.538002014,-25.19702911
-8.450317383,-6.356422424,-24.74308014
-8.538818359,-6.538192749,-25.65193176
-8.450317383,-6.629173279,-24.9250412
-8.450317383,-6.356422424,-24.65248108
-8.627319336,-6.538002014,-24.83386993
-8.361816406,-6.447212219,-25.01564026
-8.892822266,-5.72051239,-24.74327087
-9.335327148,-6.356613159,-24.65229034
-8.361816406,-6.356613159,-25.28839111
-8.627319336,-6.810562134,-25.37937164
-8.892822266,-6.1746521,-25.19760132
-8.715820313,-5.901901245,-25.10662079
-8.627319336,-5.720321655,-24.74308014
-8.450317383,-6.537811279,-25.10662079
-8.538818359,-6.810562134,-25.56095123
-8.981323242,-6.628791809,-25.28839111
-8.627319336,-6.174461365,-24.74327087
-9.777832031,-0.724975586,-30.01079559
-9.954833984,0.092323303,-30.28316498
-10.04333496,0.364501953,-29.82902527
-10.04333496,-0.271026611,-29.91981506
-10.39733887,-0.543395996,-29.91981506
-10.30883789,-0.089256287,-29.28390503
-9.423828125,0.092323303,-29.64744568
-10.48564911,-0.089256287,-29.55665588
-10.04333496,-0.543395996,-29.46567535
-10.1316452,0.273902893,-29.19311523
-10.48564911,0.001342773,-29.28390503
-9.866333008,-0.452606201,-29.28390503
-10.04333496,-0.543205261,-29.10251617
-9.954833984,-0.543395996,-29.829216
-9.777832031,-0.543586731,-30.10158539
-10.13183594,-0.634185791,-29.9200058
-10.39733887,-0.180046082,-29.829216
-10.04333496,-0.361625671,-30.10139465
-10.13183594,-0.361625671,-29.82883453
-9.512329102,-0.543205261,-30.10158539
-9.689331055,-0.270835876,-29.73823547
-9.954833984,-0.089256287,-29.73823547
-10.13183594,0.001533508,-29.64744568
-9.954833984,0.001533508,-29.64725494
-9.600830078,0.183113098,-29.55646515
-9.689331055,0.455482483,-29.10251617
-9.866333008,0.001533508,-29.01153564
-10.22033691,-0.180046082,-29.28390503
-9.954833984,0.273902893,-29.91981506
-10.04333496,-0.361625671,-29.73804474
-10.13183594,-0.361625671,-30.37395477
-9.777832031,-0.452606201,-30.01060486
-9.423828125,-0.815765381,-29.73804474
-10.04333496,-0.180046082,-29.82902527
-9.777832031,-0.270835876,-30.10139465
-10.22033691,-0.180046082,-29.64725494
-9.866333008,0.183113098,-29.9200058
-10.04333496,0.183113098,-30.19237518
-9.866142273,0.092323303,-29.9200058
-10.04314423,-0.089256287,-29.73823547
-11.19346619,-2.723495483,-31.28261566
-10.83946228,-2.360145569,-31.55498505
-10.75115204,-1.996795654,-32.09991455
-10.22033691,-2.269546509,-32.19070435
-10.75115204,-1.542655945,-31.91833496
-11.01665497,-2.541725159,-31.55498505
-11.01646423,-2.632705688,-32.00912476
-10.39714813,-2.178565979,-32.37228394
-10.57434082,-2.632705688,-32.09991455
-9.954833984,-2.723304749,-31.91833496
-10.30883789,-2.541725159,-31.82754517
-10.75134277,-2.087776184,-31.91833496
-10.57415009,-1.996986389,-32.00912476
-10.48583984,-2.541915894,-31.46419525
-10.57434082,-2.451126099,-31.37340546
-10.75134277,-2.541915894,-31.01005554
-11.01665497,-2.632705688,-31.10084534
-10.92796326,-2.723495483,-31.19182587
-10.83946228,-2.814285278,-31.55498505
-10.39714813,-2.541725159,-31.64577484
-10.6628418,-2.541915894,-31.91833496
-10.6628418,-2.632705688,-31.7363739
-10.66265106,-2.451316833,-31.73656464
-10.1316452,-2.632705688,-31.82754517
-10.48564911,-2.360336304,-31.73656464
-10.83965302,-2.269546509,-31.55498505
-10.48564911,-2.723686218,-31.19163513
-10.39733887,-3.177635193,-31.73675537
-10.22033691,-2.450744629,-31.64596558
-10.92815399,-2.087776184,-31.55498505
-10.57434082,-2.814476013,-31.55498505
-10.39733887,-2.814476013,-31.46419525
-10.39733887,-3.086845398,-31.64596558
-10.6628418,-2.996055603,-31.28261566
-10.83984375,-2.451126099,-31.55498505
-10.30883789,-2.360336304,-32.09991455
-10.22033691,-2.178756714,-31.64596558
-10.39733887,-2.814476013,-31.37340546
-10.57434082,-2.723686218,-31.7363739
-10.30883789,-2.632705688,-31.37321472
-13.05084229,-0.361816406,-29.64744568
-12.96234131,-0.271026611,-29.64744568
-12.43190765,0.183113098,-29.46567535
-11.90109253,-0.089447021,-29.64706421
-12.25471497,-0.271026611,-29.46548462
-12.07771301,-0.180046082,-29.73804474
-12.5202179,-0.089256287,-29.55646515
-12.34340668,0.364692688,-29.19311523
-12.43209839,0.092323303,-28.92074585
-12.78572083,-0.270835876,-29.28390503
-13.05103302,-0.452606201,-29.55646515
-12.78553009,0.183113098,-29.10232544
-12.96253204,0.183113098,-28.92093658
-12.60890961,0.183113098,-29.01172638
-12.34321594,-0.634185791,-29.64725494
-12.43171692,-0.543395996,-29.37469482
-12.87403107,-0.089256287,-29.19330597
-12.34302521,0.183113098,-29.55665588
-12.34302521,0.364692688,-29.55646515
-12.34321594,-0.089256287,-29.46567535
-12.52002716,-0.180046082,-29.19330597
-12.78533936,0.001533508,-29.2842865
-12.78553009,-0.543586731,-29.28409576
-12.78533936,-1.08870697,-28.73916626
-12.34302521,0.092132568,-28.82995605
-12.69702911,-0.180046082,-29.10232544
-12.25471497,0.183113098,-29.46548462
-11.90109253,0.273902893,-29.19330597
-12.25471497,0.183113098,-29.55665588
-12.6083374,-0.452606201,-29.64725494
-12.07771301,-0.180236816,-29.73804474
-11.98921204,0.001533508,-29.01172638
-12.52002716,0.273902893,-29.01191711
-12.34321594,0.183113098,-29.82902527
-12.43190765,-0.089256287,-29.37469482
-12.5202179,0.273902893,-29.01153564
-12.52002716,-0.089256287,-28.82995605
-12.87403107,-0.633995056,-29.55646515
-12.5202179,0.001533508,-30.19218445
-12.52002716,0.092132568,-29.46567535
-10.22033691,-1.360694885,-24.47090149
-10.30883789,-1.269714355,-24.47071075
-10.6628418,-1.361076355,-24.92465973
-10.57434082,-1.17930603,-25.10662079
-10.6628418,-0.815574646,-24.74327087
-10.30864716,-0.633995056,-25.01583099
-10.39714813,-0.724975586,-24.47090149
-10.13183594,-0.997344971,-24.74327087
-10.13183594,-1.36088562,-24.65229034
-10.22033691,-1.72442627,-24.19815063
-10.39733887,-1.451675415,-24.65229034
