04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-56,-66,-53,-69,-11,-27,-51,-57,-64,NaN,-63,-78,-70,NaN,-68,NaN,NaN,NaN,NaN,2
-55,-67,-52,-69,-11,-27,-55,-57,-58,NaN,-70,-78,-67,NaN,-68,NaN,NaN,-70,-87,2
-56,-67,-50,-70,-12,-27,-53,-57,-59,NaN,-71,NaN,-67,NaN,-68,-74,NaN,-70,-87,2
-57,-65,-51,-66,-41,-34,-52,-56,-58,-76,-66,NaN,-73,NaN,NaN,-74,NaN,-70,-87,2
-57,-63,-50,-69,-11,-27,-54,-57,-60,-76,-60,NaN,-71,NaN,NaN,-74,NaN,-70,-87,2
-58,-63,-54,-69,-11,-27,-54,-57,-60,-76,-60,NaN,-71,NaN,NaN,-74,NaN,-70,-87,2
-58,-66,-50,-69,-12,-26,-50,-57,-59,-76,-62,-71,-70,NaN,NaN,-78,NaN,-73,NaN,2
-56,-63,-51,-73,-12,-27,-50,-59,-59,-76,-61,-72,-71,NaN,NaN,-78,NaN,-72,NaN,2
-56,-63,-50,-72,-12,-27,-50,-58,-57,-76,-62,-72,-71,NaN,-66,-78,NaN,-77,NaN,2
-55,-63,-50,-67,-12,-27,-50,-56,-59,-76,-66,-72,-71,NaN,-66,-78,NaN,-75,NaN,2
-55,-63,-51,-69,-12,-27,-51,-56,-64,-76,-65,-72,-73,NaN,-66,-74,NaN,-75,NaN,2
