4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-38,-35,-51,-65,-56,-57,-59,-77,-61,-61,-78,-77,-75,-67,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-50,-61,-56,-61,-58,-72,-62,-61,-78,-76,-75,-70,NaN,NaN,NaN,NaN,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-35,-51,-63,-56,-61,-59,-72,-62,-61,-79,-74,-73,-70,NaN,NaN,NaN,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-49,-58,-56,-56,-58,-72,-63,-61,-78,-72,-74,-72,NaN,NaN,NaN,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-35,-50,-59,-56,-61,-58,-71,-63,-61,-78,-74,-74,-70,NaN,NaN,NaN,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-51,-56,-59,-56,-60,-70,-63,-59,-78,-75,-75,-70,NaN,NaN,NaN,-81,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-74,-50,-58,-59,-60,-59,-70,-62,-62,-78,-75,-75,-74,NaN,NaN,NaN,-81,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-51,-63,-62,-56,-58,-72,-62,-60,-79,-78,-73,-79,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-35,-49,-58,-65,-59,-58,-72,-62,-59,-79,-74,-73,-79,NaN,-67,-78,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-52,-60,-65,-58,-58,-72,-62,-61,-79,-75,-73,-77,NaN,-67,-78,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
