04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-53,-37,NaN,-62,-73,-62,-53,-53,-66,-67,NaN,NaN,NaN,NaN,-70,NaN,NaN,-88,NaN,2
-51,-38,-30,-63,-57,NaN,-54,-53,-69,-67,-67,NaN,NaN,-62,-71,NaN,-84,NaN,NaN,2
-51,-37,-32,NaN,-59,-62,-54,-52,-70,-66,-72,-73,NaN,NaN,-71,NaN,NaN,-87,NaN,2
-50,-38,-31,-61,-59,-67,-52,-56,-69,-67,NaN,-71,-82,-61,-72,NaN,NaN,NaN,-74,2
-53,-38,-31,NaN,-60,-66,-52,-54,-68,-67,-70,-70,NaN,-61,-72,NaN,NaN,NaN,-73,2
-51,-38,-32,-59,-57,-64,-52,-54,-69,-67,-69,-72,NaN,-61,-72,NaN,-85,NaN,NaN,2
-51,-38,-31,-87,-59,-64,-51,-52,-86,-65,NaN,NaN,NaN,NaN,NaN,NaN,-85,NaN,-71,2
-51,-38,-31,NaN,-59,-61,-51,-52,-68,-67,-72,NaN,-80,-61,-71,NaN,NaN,NaN,NaN,2
-51,-36,-30,-60,-59,-60,-50,-52,-68,-67,-66,NaN,-81,-62,-71,NaN,-85,-87,NaN,2
-51,-37,-31,-61,-58,NaN,-49,-54,-69,-68,-67,-74,NaN,-62,-71,NaN,-84,NaN,-72,2
-52,-37,-31,-58,-61,NaN,-51,-56,-67,-67,-65,-72,-71,-62,-71,NaN,NaN,NaN,NaN,2
-53,-36,-30,-59,-63,-65,-51,-55,-66,-68,-66,-74,-71,-61,NaN,NaN,NaN,NaN,-74,2
-51,-35,-31,NaN,-54,-69,-53,-52,-71,-68,-67,-76,-71,-61,NaN,NaN,NaN,NaN,NaN,2
-51,-37,-32,-60,NaN,-63,-49,-53,-67,-67,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-51,-36,-31,-64,-66,-64,-52,-54,-67,-68,-65,-71,NaN,-62,-71,NaN,NaN,NaN,-74,2
