04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-51,-30,-38,-39,-52,-61,-62,-53,-61,-65,NaN,-76,NaN,-73,-78,NaN,NaN,NaN,-70,-72,NaN,-70,-84,NaN,NaN,NaN,-82,NaN,NaN,NaN,NaN,1
-52,-29,-38,-38,-53,-47,-59,-52,-60,NaN,-66,NaN,NaN,NaN,-77,NaN,-58,-65,-72,-74,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-36,-38,-54,-55,-62,-53,-55,-65,-65,NaN,-67,NaN,-57,NaN,NaN,-65,-71,NaN,NaN,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-30,-39,-38,-53,-56,-60,-54,-61,-64,NaN,NaN,NaN,-73,NaN,NaN,-57,-65,NaN,NaN,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-38,-53,-62,-62,-51,-61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-76,NaN,NaN,NaN,NaN,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-38,-38,-52,-64,-60,-52,-60,-64,-67,-72,-72,-72,NaN,NaN,-75,NaN,-71,NaN,NaN,NaN,-83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-62,-62,-52,-54,-64,-67,-72,-72,-73,NaN,NaN,-76,-65,-70,NaN,-76,-70,-87,-85,-80,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-51,-55,-61,-55,-60,-65,NaN,NaN,-57,NaN,-78,NaN,NaN,-65,NaN,NaN,-75,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-38,-52,-63,-61,-55,-60,-64,-67,NaN,NaN,-72,NaN,NaN,NaN,-65,-72,NaN,-74,NaN,-87,NaN,NaN,NaN,-79,NaN,NaN,NaN,NaN,1
-50,-30,-39,-38,-52,-56,-60,-52,-60,-64,NaN,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-33,-38,-38,-52,-56,-60,-55,-60,-64,NaN,-72,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-65,-59,-53,-60,-86,-66,-72,NaN,-72,NaN,NaN,NaN,-65,NaN,NaN,NaN,-69,-87,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,1
