06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-69,-26,-42,-59,-60,-56,-29,-46,NaN,-53,-68,-75,-66,-66,-69,-69,NaN,NaN,-73,8
-79,-29,-42,-59,-59,-52,-29,-54,-80,-56,-66,-74,-61,-67,NaN,-69,NaN,-77,NaN,8
-72,-32,-45,-58,-58,-54,-30,-51,-79,-54,NaN,-74,-67,-64,-71,-68,NaN,-79,NaN,8
-67,-29,-44,-55,-58,-54,-29,-50,NaN,-55,-69,-73,-60,-68,-69,-68,-79,NaN,-77,8
-67,-27,-43,NaN,NaN,-59,-32,-52,-81,-55,-66,NaN,-68,-66,-69,NaN,-78,NaN,NaN,8
-68,NaN,-42,-51,-60,-60,-31,-49,NaN,-48,-79,NaN,-64,-67,NaN,-67,NaN,NaN,NaN,8
-66,-26,-43,-57,-59,-59,-32,-48,-82,-53,NaN,-74,NaN,-66,-70,-87,NaN,NaN,NaN,8
-68,-27,-42,-51,-59,-56,-29,-51,-80,-54,NaN,NaN,-63,-70,-66,-67,NaN,NaN,NaN,8
-69,-28,-43,-52,-60,-55,-30,-49,-78,-55,NaN,-72,-59,-70,NaN,-69,NaN,NaN,NaN,8
-70,-29,-43,-57,-65,-48,-31,-48,-80,-55,NaN,NaN,-65,-75,NaN,NaN,NaN,NaN,NaN,8
-70,-27,-43,-50,-59,-56,-29,-47,NaN,-55,-71,-77,-62,-70,-74,-68,-77,NaN,-74,8
-63,-28,-43,-54,-58,-57,-29,-47,NaN,-54,-70,-75,-61,-71,NaN,-68,-81,NaN,NaN,8
-71,-27,-43,-48,-60,-59,-28,-47,NaN,-44,-71,-76,-65,-69,-70,NaN,-79,NaN,NaN,8
-70,-27,-42,-48,-59,-57,-32,-51,NaN,-56,NaN,-73,-65,-69,-68,-69,NaN,NaN,-74,8
-69,-27,-43,-49,-58,-59,-30,-48,NaN,-47,-67,NaN,NaN,-64,-69,NaN,-79,NaN,NaN,8
-68,-26,-41,-53,-57,-57,-30,-48,NaN,-53,-66,NaN,-66,NaN,-72,-65,-80,NaN,-71,8
-67,-27,-43,-50,-58,-51,-30,-49,NaN,-54,-67,NaN,-64,-70,-68,-67,NaN,-81,NaN,8
-72,-26,-42,-57,-60,-56,-30,-50,-83,-55,-67,NaN,-66,-73,NaN,-68,NaN,-77,NaN,8
-70,-27,-42,-55,-58,-56,-30,-48,-83,-55,NaN,-78,-66,-72,-69,-69,NaN,NaN,-73,8
-68,-26,-42,-50,-58,-50,-30,-49,NaN,-45,-66,-78,-63,-65,-73,-69,-81,NaN,NaN,8
-68,-23,-42,-49,-60,-56,-30,NaN,-77,-46,NaN,NaN,-63,-68,NaN,-68,-78,NaN,-72,8
-67,-27,-43,-67,-59,-58,-31,-49,-82,-51,NaN,NaN,-65,-66,NaN,NaN,-78,NaN,NaN,8
-68,-25,-44,-52,-60,-55,-30,-50,-86,-55,-71,NaN,-63,-74,-68,NaN,NaN,NaN,NaN,8
-72,-26,-44,-48,-59,-58,-28,-49,NaN,-55,NaN,-73,-65,-70,-71,NaN,NaN,-82,-75,8
-68,-27,-42,-52,-59,-50,-29,-48,NaN,-56,NaN,-79,-61,-68,-69,NaN,-83,NaN,NaN,8
-71,-27,-42,-48,-62,-55,-27,-50,-77,-56,-71,NaN,-63,-70,-67,NaN,-77,NaN,-74,8
-70,-28,-41,-53,-64,-55,-26,-47,-81,-48,-70,NaN,-64,NaN,-71,NaN,-81,NaN,NaN,8
-68,-28,-43,-53,-60,-57,-27,-53,-80,-52,-69,-76,-60,-68,-71,-69,NaN,-78,-73,8
-60,-30,-43,-51,-60,-53,-27,-52,-85,-51,-69,-73,-68,-72,-68,-68,NaN,NaN,NaN,8
-64,-24,-43,-53,-63,-58,-29,-47,-82,-52,-70,-73,-67,-67,-69,NaN,-80,NaN,-74,8
-70,-28,-44,-54,NaN,-56,-30,-50,-81,-56,-69,NaN,NaN,-69,-70,-67,NaN,NaN,-75,8
-69,-29,-43,-48,-62,-61,-31,-49,NaN,-54,-70,-78,-64,NaN,-69,-67,NaN,NaN,NaN,8
-58,-29,-43,-49,-62,NaN,-48,-50,NaN,-53,NaN,NaN,-66,NaN,-69,-68,NaN,NaN,NaN,8
-68,-27,-43,-50,NaN,-59,-29,-48,-76,-52,-71,NaN,-69,-67,NaN,-68,NaN,NaN,NaN,8
-69,-25,-44,-56,NaN,-60,-30,-48,-66,-52,-70,-79,-62,-65,-75,NaN,NaN,-76,NaN,8
-68,-27,-43,-50,NaN,-63,-29,-48,NaN,-52,-69,NaN,-63,-68,-64,-68,NaN,NaN,-77,8
-72,-29,-42,-48,NaN,-56,-30,-49,-80,-50,NaN,NaN,-65,NaN,-65,-66,NaN,-79,NaN,8
-66,-27,-44,-50,-59,-56,-32,NaN,-81,-50,-69,NaN,-72,-68,NaN,NaN,-77,-76,-74,8
-66,-28,-41,-60,-61,-57,-29,-50,-77,-50,NaN,-73,-64,-65,-70,-67,NaN,-76,-74,8
-67,-27,-42,-48,-60,-52,-29,NaN,NaN,-46,-66,NaN,-60,-63,-68,-69,-81,-79,-75,8
-67,-25,-44,-55,-63,-53,-33,-50,-65,-51,NaN,-74,-64,-64,-69,NaN,-81,-76,NaN,8
-70,-27,-43,-54,-62,-57,-31,-51,NaN,-54,-70,NaN,-63,-64,-70,-68,NaN,-79,-78,8
-69,-38,-56,-52,-59,-58,-30,-53,NaN,-52,NaN,NaN,-60,-69,-69,-67,-76,-86,-77,9
-68,-36,-53,-57,-64,-56,-32,-58,NaN,-51,-64,-77,-61,-62,-62,NaN,-76,NaN,NaN,9
-70,-32,-50,-56,-64,-54,-30,-56,NaN,-50,-65,NaN,-59,-68,NaN,-76,-80,NaN,-73,9
-69,-34,-53,-54,-64,-57,-29,-54,NaN,-51,-65,-76,-66,-69,-62,-78,NaN,NaN,-75,9
-71,-33,-56,-56,-65,-58,-32,-54,NaN,-50,NaN,-75,-60,NaN,-64,-71,NaN,-86,-81,9
-69,-32,-55,-59,-66,-61,-32,-52,NaN,-51,-65,-75,-69,-70,-68,NaN,NaN,NaN,NaN,9
-69,-32,-56,-59,-67,-60,-31,-50,NaN,-51,NaN,-75,NaN,-71,-65,NaN,NaN,NaN,NaN,9
-70,-32,-56,-56,-65,-61,-32,-51,NaN,-51,-64,NaN,NaN,NaN,-65,NaN,-79,NaN,NaN,9
-70,-32,-56,-55,NaN,-63,-31,-50,NaN,-52,-63,NaN,-62,NaN,-64,NaN,NaN,NaN,NaN,9
-69,-32,-52,-55,-65,NaN,-31,-54,NaN,-53,-63,NaN,-62,NaN,-71,NaN,-78,NaN,-74,9
-70,-35,-54,-58,NaN,-58,-33,-54,NaN,-51,-63,-76,-58,-69,-63,NaN,NaN,NaN,NaN,9
-71,-33,-56,-56,-64,-67,-35,-53,NaN,-51,-68,NaN,-63,-66,-65,-71,NaN,NaN,-73,9
-72,-33,-57,-54,-66,-63,-35,-56,NaN,-52,-64,-78,-60,-65,-64,-76,-83,NaN,-72,9
-70,-34,-57,-55,-64,-63,-35,-59,-87,-51,-63,-77,-63,-66,-65,NaN,NaN,NaN,NaN,9
-71,-34,-56,-55,-65,-62,-38,-56,NaN,-50,-63,NaN,-60,-66,-64,NaN,NaN,NaN,-76,9
-71,-36,-55,-54,NaN,-64,-39,-55,NaN,-50,-63,NaN,-61,NaN,-65,NaN,-81,NaN,NaN,9
-70,-32,-57,-62,-69,-65,-36,-55,-91,-51,-63,NaN,-61,-68,NaN,-77,-78,NaN,-69,9
-70,-32,-57,-55,NaN,-61,-34,-55,NaN,-50,-63,-75,-59,NaN,NaN,NaN,NaN,NaN,NaN,9
-70,-33,-57,-56,NaN,-66,-35,-58,NaN,-51,NaN,NaN,-58,-67,-64,NaN,-80,-82,NaN,9
-70,-33,-58,-63,-65,-63,-35,-55,NaN,-51,-64,NaN,-60,-69,-64,-72,NaN,-73,-74,9
-70,-34,-59,-57,-66,-60,-36,-54,NaN,-50,NaN,-77,-58,-69,-65,-70,NaN,-83,NaN,9
-70,-62,-56,-60,-66,-60,-35,-54,NaN,-49,-62,-75,-59,-69,-66,NaN,NaN,NaN,-75,9
-70,-33,-57,-53,NaN,-68,-34,-50,NaN,-52,-63,-75,-61,-80,-63,NaN,NaN,NaN,NaN,9
-70,-33,-55,-54,-89,-63,-33,-50,NaN,-52,-63,NaN,-61,NaN,-62,NaN,NaN,NaN,NaN,9
-71,-34,-54,-56,NaN,-61,-34,-50,NaN,-51,-64,NaN,-59,-72,-65,NaN,NaN,NaN,-74,9
-73,-33,-56,-58,NaN,-66,-36,-51,NaN,-51,-62,NaN,-59,NaN,-63,-72,NaN,NaN,-74,9
-68,-33,NaN,-57,-63,-64,-34,-56,NaN,-51,-64,NaN,-60,NaN,-62,-77,-80,NaN,-79,9
-72,-33,-62,-57,NaN,-62,-32,-59,NaN,-52,-63,NaN,-60,-71,NaN,NaN,NaN,NaN,-75,9
-73,-32,-59,-58,-67,-62,-32,-56,NaN,-51,-63,-73,-62,-70,-63,NaN,NaN,NaN,-74,9
-72,-32,-53,-55,-74,-64,-32,-53,NaN,-50,-63,-76,-62,-69,-65,NaN,-82,NaN,-76,9
-71,-32,-59,-55,-66,-58,NaN,-53,NaN,-52,NaN,NaN,-63,-72,-64,-82,-79,NaN,-76,9
-70,-34,-54,-56,NaN,-63,-36,-50,NaN,-49,-63,NaN,NaN,NaN,-67,-78,-80,NaN,-74,9
-71,-36,-55,-55,NaN,-59,-38,-52,NaN,-50,-63,NaN,-63,-70,-67,-69,NaN,NaN,NaN,9
-71,-35,-53,-55,-66,-64,-37,-51,NaN,-49,-62,NaN,-61,NaN,-67,NaN,NaN,NaN,-75,9
-71,-34,-55,-55,NaN,-63,-38,-50,NaN,-49,-64,NaN,-65,-75,-63,-73,NaN,NaN,-73,9
-73,-33,-54,-53,-64,-63,-36,-51,NaN,-49,-63,NaN,-65,-67,-67,-74,NaN,-82,-75,9
-55,-35,-54,-57,-67,-58,-36,-50,NaN,-49,-63,-75,-64,-71,-66,-70,NaN,NaN,-73,9
-56,-37,-52,-55,-69,-58,-39,-53,NaN,-50,-64,NaN,-64,NaN,-58,NaN,-81,NaN,NaN,9
-70,-36,-55,-54,-68,-60,-37,-50,NaN,-49,-62,NaN,-65,-70,-67,NaN,-80,NaN,NaN,9
-72,-36,-54,-55,-64,-59,-38,-50,NaN,-51,-62,NaN,NaN,-70,-62,NaN,NaN,NaN,NaN,9
-72,-36,-53,-55,-67,-61,-37,-48,NaN,-49,NaN,NaN,-65,-69,-65,NaN,NaN,NaN,-76,9
-71,-35,-53,-54,-67,-61,-38,-50,-87,-49,-60,-77,NaN,-70,-64,NaN,NaN,NaN,-74,9
-69,-37,-53,-53,-67,-65,-37,-54,-91,-49,NaN,NaN,-65,-70,-67,-70,NaN,NaN,-74,9
-72,-34,-54,-56,-67,-64,-38,-53,NaN,-49,-63,-77,-67,-68,-63,-72,-78,-83,-74,9
-72,-37,-53,-54,-67,-63,-37,-50,-89,-48,-64,-76,-59,-70,-64,-70,-80,-81,-73,9
-70,-38,-56,-55,-68,-63,-39,-52,NaN,-51,-62,NaN,-63,-68,-65,-74,NaN,NaN,NaN,9
-55,-37,-52,-56,-68,-64,-36,-51,NaN,-48,-63,NaN,NaN,-67,-65,NaN,NaN,NaN,NaN,9
-69,-37,-54,-56,-67,-65,-38,-50,NaN,-50,NaN,-75,-65,-62,-66,-72,NaN,NaN,NaN,9
-68,-36,-55,-59,NaN,-58,-34,NaN,-85,-49,-64,NaN,-63,NaN,NaN,-73,NaN,NaN,NaN,9
-57,-35,-55,-57,-67,-60,-35,-49,NaN,-51,-63,NaN,-63,NaN,-61,NaN,NaN,NaN,NaN,9
-68,-35,-54,-52,-67,-59,-39,-49,NaN,-49,NaN,NaN,-65,-64,-67,NaN,NaN,NaN,NaN,9
-70,-34,-55,-57,-69,-59,-36,-51,NaN,-50,-63,-75,-64,-67,-69,-74,NaN,NaN,NaN,9
-68,-34,-55,-56,-69,-59,-39,-56,NaN,-49,NaN,NaN,-70,-68,-67,NaN,NaN,NaN,NaN,9
-68,-35,-54,-56,-67,-57,-39,-55,NaN,-51,NaN,NaN,-67,-68,-67,-71,-78,NaN,NaN,9
-70,-35,-53,-56,-69,-60,-40,-53,NaN,-52,NaN,NaN,-65,-68,NaN,-75,NaN,NaN,NaN,9
-72,-37,-55,-56,-69,-58,-40,-52,NaN,-49,-63,NaN,-64,-69,-65,NaN,NaN,NaN,NaN,9
-70,-36,-53,-56,NaN,-59,-89,-51,NaN,-51,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,9
-70,-38,-56,-57,-67,-57,-41,-52,NaN,-51,NaN,NaN,-64,-67,-64,NaN,NaN,NaN,NaN,9
-70,-37,-55,-56,-68,NaN,-41,-51,-88,-49,NaN,NaN,-63,-68,NaN,NaN,NaN,NaN,NaN,9
-70,-37,-53,-57,-70,-58,-42,NaN,-89,-49,-57,-77,-64,NaN,-63,NaN,NaN,NaN,NaN,9
-68,-37,-57,-58,-68,-55,-40,-50,NaN,-49,NaN,-75,-73,NaN,NaN,NaN,NaN,NaN,NaN,9
-68,-35,-54,-56,-67,-52,-41,-49,NaN,-51,-62,-73,-67,-75,-64,-74,-81,NaN,NaN,9
-70,-38,-55,-61,-66,-60,-38,-48,NaN,-49,-61,-73,-60,NaN,-66,NaN,NaN,NaN,NaN,9
-70,-36,-55,-55,-70,-59,-41,NaN,NaN,-49,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9
-69,-34,-55,-57,-67,-59,-36,-48,NaN,-49,-63,-73,-59,NaN,-68,NaN,NaN,NaN,NaN,9
-69,-33,-54,-58,-67,-59,-36,-50,NaN,-49,-62,NaN,NaN,-67,NaN,NaN,NaN,NaN,NaN,9
-70,-33,-56,-56,NaN,-58,-37,-51,NaN,-50,-61,NaN,-60,NaN,-64,NaN,-80,NaN,NaN,9
-69,-35,-54,-61,NaN,-59,-37,-51,NaN,-51,NaN,NaN,NaN,-68,-64,NaN,NaN,NaN,NaN,9
-57,-34,-55,-62,-69,-63,-39,-52,NaN,-50,-63,NaN,NaN,-70,NaN,NaN,NaN,NaN,-75,9
-69,-35,-58,-58,NaN,-63,-40,-51,NaN,-49,-62,-74,-60,-68,-64,NaN,NaN,-83,-72,9
-70,-34,-55,-58,-67,-63,-38,-50,NaN,-50,-61,-75,-62,NaN,-66,-69,NaN,NaN,NaN,9
-69,-33,-55,-55,-68,-59,-41,-50,NaN,-52,-62,-75,-65,NaN,-68,NaN,NaN,NaN,NaN,9
-69,-37,-55,-54,-67,-64,-37,-50,NaN,-53,-63,-74,-61,-64,-64,NaN,NaN,NaN,-74,9
-67,-34,-62,-58,-65,-54,-39,-50,NaN,-51,-64,NaN,-67,-67,-66,NaN,NaN,NaN,NaN,9
-68,-34,-59,-55,-68,-60,-39,-50,NaN,-51,-64,NaN,-66,-72,-68,-75,-84,NaN,-74,9
-69,-34,-61,-54,-66,-61,-38,-49,NaN,-51,NaN,NaN,-65,-63,-64,-73,-83,NaN,NaN,9
-69,-34,-60,-63,-65,NaN,-41,-54,NaN,-52,-63,NaN,-68,-66,-67,NaN,-81,NaN,NaN,9
-69,-38,-60,-56,-68,-67,-37,-54,NaN,-51,-63,-76,-67,-68,-64,-78,-80,NaN,-73,9
-71,-35,-58,-58,-66,-64,-40,-56,NaN,-53,-64,NaN,-65,-66,-69,NaN,-83,NaN,NaN,9
-68,-36,-60,-58,-67,-64,-39,-57,NaN,-53,-63,-78,-69,-67,-65,NaN,-81,-84,-76,9
-64,-31,-48,-63,-68,-63,-40,-46,-80,-53,-69,NaN,-57,-72,-66,NaN,NaN,NaN,-74,10
-68,-36,-49,-53,-68,-62,-29,-45,NaN,-56,-65,NaN,-62,-64,-69,-74,NaN,-84,NaN,10
-60,-34,-46,-54,-66,-65,-29,-45,-80,-56,-65,NaN,-59,-64,-69,-72,NaN,-84,-73,10
-68,-36,-48,-54,-70,-66,-29,-44,-82,-51,NaN,-70,-60,-68,NaN,NaN,-83,NaN,-76,10
-67,-35,-47,-55,-65,-69,-30,-45,-82,-51,-64,NaN,-58,-65,-71,-72,NaN,NaN,NaN,10
-61,-36,-47,-56,NaN,-64,-30,-45,-78,-52,-64,NaN,-65,-66,-70,-73,NaN,-86,-75,10
-67,-36,-47,-55,-65,-66,-29,-44,-81,-57,-64,-72,-63,-66,-68,-72,-81,NaN,NaN,10
-67,-36,-47,-56,NaN,NaN,-29,-44,-80,-50,-63,NaN,-62,-64,NaN,NaN,NaN,NaN,NaN,10
-66,-35,-47,-56,-66,-65,-29,-44,-82,-50,NaN,-70,-61,-65,-67,-73,NaN,NaN,NaN,10
-65,-35,-44,-56,NaN,-67,-29,-44,-80,-51,NaN,NaN,-63,-64,-67,NaN,NaN,NaN,NaN,10
-66,-35,-47,-56,-66,-69,-29,-45,NaN,-50,-63,NaN,-63,-66,-68,-73,NaN,NaN,-75,10
-66,-34,-47,-55,NaN,-65,-29,-45,NaN,-56,NaN,NaN,-63,-64,NaN,NaN,-77,NaN,NaN,10
-65,-35,-47,-57,-66,-69,-29,-44,-80,-49,NaN,-75,NaN,NaN,-75,-73,-79,-83,NaN,10
-66,-35,-46,-58,-66,-67,-29,-45,-70,-55,NaN,-69,-60,-65,-67,NaN,NaN,NaN,NaN,10
-65,-33,-47,-57,NaN,-69,-29,-44,-80,-55,NaN,-71,-60,-65,-69,NaN,NaN,NaN,NaN,10
-66,-35,-46,-57,-66,-72,-29,-44,NaN,-55,-64,NaN,NaN,-65,-68,-71,NaN,NaN,NaN,10
-65,-35,-47,NaN,NaN,-66,-29,-45,NaN,-57,NaN,NaN,-60,NaN,-68,NaN,-75,NaN,NaN,10
-66,-35,-46,-58,-68,-68,-29,-45,NaN,-50,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,10
-66,-34,-47,-55,-67,-64,-29,-44,-80,-51,-64,NaN,-61,-64,-68,-74,-81,NaN,NaN,10
-65,-35,-47,-56,-67,-68,-29,-45,-79,-55,-63,-69,-61,-65,-68,-74,NaN,NaN,NaN,10
-65,-35,-46,-55,-67,-64,-29,-45,-78,-55,NaN,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,10
-66,-35,-47,-56,-66,-67,-29,-45,-80,-51,-64,-69,-61,-65,-69,-75,NaN,NaN,NaN,10
-66,-35,-46,-57,-67,-66,-29,-44,NaN,-55,-64,NaN,-59,-64,NaN,NaN,NaN,NaN,-75,10
-66,NaN,-47,-56,-65,-67,-29,-44,-79,-55,NaN,NaN,-61,NaN,NaN,NaN,NaN,NaN,NaN,10
-66,-35,-47,-56,-65,-67,-26,-45,-80,-50,NaN,-69,-59,-65,NaN,NaN,NaN,NaN,NaN,10
-66,-35,-46,-55,-67,-68,-29,-45,-81,-50,-65,-69,NaN,NaN,NaN,-74,NaN,NaN,NaN,10
-66,-70,-46,-57,-66,-65,-76,-44,-80,-49,NaN,-64,NaN,-66,NaN,-76,NaN,NaN,NaN,10
-66,-34,-47,-55,-65,-88,-29,-44,-81,-55,NaN,-69,-60,-67,-70,NaN,NaN,NaN,NaN,10
-65,-35,-47,-56,NaN,-65,-30,-44,NaN,-50,-64,-70,-62,-65,-68,-75,NaN,NaN,-75,10
-65,-33,-47,-55,-69,-66,-29,-45,NaN,-55,-63,NaN,-58,-65,-69,NaN,-75,NaN,-75,10
-66,-35,-47,-56,NaN,-65,-29,-44,NaN,-49,-61,-70,NaN,-65,NaN,-73,NaN,NaN,NaN,10
-65,-35,-46,-57,NaN,-68,-29,NaN,NaN,-50,-64,NaN,-62,-74,-73,-73,-75,NaN,NaN,10
-64,-35,-47,-56,NaN,-68,-29,-45,NaN,-55,NaN,NaN,-60,-66,-67,NaN,NaN,NaN,NaN,10
-66,-35,-47,-57,NaN,-64,-32,-44,-81,-55,-63,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,10
-63,-35,-47,-56,-70,-66,-30,-45,NaN,-51,-64,NaN,-59,-65,NaN,NaN,-74,NaN,NaN,10
-67,-34,-44,-57,-67,-64,NaN,NaN,-80,-55,-62,NaN,-61,-65,NaN,-75,NaN,NaN,NaN,10
-66,-35,-47,-56,-68,-64,-28,NaN,NaN,-56,-64,-69,NaN,-65,NaN,-75,NaN,-85,NaN,10
-65,-35,-47,-56,-66,-67,-28,-45,-81,-57,-64,-70,NaN,-64,NaN,-76,-75,NaN,NaN,10
-66,-35,-46,-56,-67,-68,-29,-45,-81,-50,NaN,NaN,-62,-65,-75,-75,NaN,NaN,-76,10
-67,NaN,-47,-56,NaN,-63,-29,-45,-80,-54,-63,NaN,-63,-70,NaN,NaN,NaN,NaN,NaN,10
-67,NaN,-47,-56,-70,-65,-29,-45,NaN,-57,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10
-67,-35,-47,-56,-68,-69,-29,-46,-80,-51,-63,-71,-62,-66,NaN,NaN,NaN,NaN,-76,10
-66,-35,-47,NaN,-70,-65,-28,-46,NaN,-55,-64,NaN,-60,-65,-67,-74,NaN,NaN,-74,10
-65,-34,-46,-56,-69,-63,-29,-47,-80,-50,-64,-68,-60,-66,-67,-70,NaN,NaN,-77,10
-68,-34,-47,-57,-86,-65,-28,-46,-80,-56,-64,-70,-60,-66,-68,-74,NaN,NaN,NaN,10
-67,-36,-45,-54,-68,-66,NaN,-44,-82,-60,-65,-59,-58,-68,-66,NaN,NaN,-83,NaN,10
-67,-35,-47,-56,NaN,-67,-29,-45,NaN,-50,NaN,-70,-62,NaN,-69,NaN,NaN,NaN,NaN,10
-67,-35,-47,-55,NaN,-63,-29,-46,-80,-50,-63,NaN,-60,-65,-69,-72,NaN,-83,NaN,10
-67,NaN,-47,-56,-68,-66,-29,-46,-80,-50,-65,-70,NaN,NaN,NaN,NaN,NaN,NaN,-76,10
-67,-36,-47,-56,NaN,-68,-29,-46,NaN,-55,-64,NaN,-59,-66,NaN,NaN,NaN,NaN,NaN,10
-67,-35,-46,-59,-68,-67,-29,-46,-77,-52,NaN,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,10
-67,-35,-46,-56,-69,-65,-29,-46,NaN,-49,-64,-69,-61,-66,-71,-73,-81,NaN,-76,10
-67,-35,-47,-58,-67,-68,-28,-46,-80,-50,-65,-69,NaN,-67,-66,-72,NaN,-84,-79,10
-67,-35,-47,-58,-66,-69,-29,-46,NaN,-55,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,10
-67,-34,-45,-57,-66,-65,-29,-46,NaN,-54,NaN,-69,-61,-65,NaN,NaN,-81,-83,-78,10
-67,-39,-46,-59,-65,-67,-29,-63,NaN,-53,NaN,NaN,-62,NaN,-65,-73,NaN,NaN,NaN,10
-65,-35,-46,NaN,NaN,-67,-30,NaN,NaN,-49,NaN,NaN,-59,NaN,-67,NaN,NaN,NaN,NaN,10
-66,-35,-47,-59,NaN,-67,-29,-45,-73,-53,NaN,NaN,-60,-64,-70,NaN,NaN,NaN,NaN,10
-66,-35,-47,-56,-66,-69,-62,-45,NaN,-54,NaN,NaN,-59,-64,-68,NaN,NaN,NaN,NaN,10
-66,-35,-45,-56,-67,-67,-29,-46,NaN,-49,-64,-69,-57,-65,-68,NaN,NaN,NaN,NaN,10
-67,-35,-47,-57,-67,NaN,-29,-47,-79,-54,-64,NaN,-59,-65,-75,-73,NaN,NaN,NaN,10
-67,-36,-47,-56,-66,NaN,-32,NaN,NaN,-50,-65,-68,-59,-66,-66,NaN,NaN,NaN,-78,10
-65,-34,-47,-56,-69,-67,-29,-46,NaN,-54,-63,NaN,-59,-66,-68,NaN,NaN,NaN,NaN,10
-67,NaN,-47,-57,-67,-71,-29,-50,NaN,-50,-64,-69,-59,-65,-66,-74,NaN,NaN,-79,10
-65,-36,-47,-58,NaN,-66,-30,-47,NaN,-47,NaN,-71,NaN,-65,-68,-76,NaN,NaN,NaN,10
-61,-36,-45,-56,-66,-65,-29,NaN,-79,-54,-63,-70,NaN,NaN,NaN,NaN,-74,NaN,NaN,10
-67,-35,-47,NaN,NaN,-63,-29,-46,-80,-55,NaN,NaN,-59,NaN,-69,NaN,NaN,NaN,NaN,10
-68,-35,-45,-57,-68,-61,-29,-45,NaN,-60,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,10
-68,-35,-45,NaN,-68,-67,-29,-47,NaN,-60,NaN,-69,NaN,NaN,NaN,-75,NaN,-82,NaN,10
-68,-35,-47,-59,NaN,NaN,-29,-46,-80,-56,-64,-63,-59,-66,NaN,-73,-75,NaN,-77,10
-69,-35,-47,-57,NaN,-68,-29,-48,NaN,-57,-65,NaN,-58,-66,-67,-74,NaN,-81,NaN,10
-64,-35,-45,-58,NaN,-60,-28,-49,-79,-50,-63,-68,-58,-74,-65,-72,NaN,NaN,-77,10
-69,-35,-47,-57,-68,-59,-30,-48,-80,-57,-64,NaN,-58,NaN,-67,NaN,NaN,NaN,NaN,10
-68,NaN,-46,-62,-67,-63,-29,-47,-81,-50,NaN,-68,-58,-67,-67,-73,NaN,NaN,NaN,10
-68,-35,-47,-58,NaN,-62,-29,-47,NaN,-56,NaN,NaN,NaN,NaN,-67,-75,NaN,NaN,NaN,10
-67,-34,-47,-57,NaN,-63,-29,NaN,NaN,-56,NaN,-69,-58,-66,NaN,-75,NaN,NaN,NaN,10
-67,-35,-47,-55,-67,-62,-29,-47,NaN,-56,NaN,NaN,-59,-67,-66,-74,NaN,NaN,NaN,10
-67,NaN,-47,-57,-68,-65,-44,-46,NaN,-51,-64,-65,-57,-65,-85,NaN,NaN,NaN,-75,10
-67,-35,-47,-56,NaN,-67,-30,-46,NaN,-50,NaN,-69,-63,-67,-68,NaN,NaN,NaN,-75,10
-68,-35,-45,-57,NaN,-66,-29,-47,-80,-55,-64,-70,-59,-67,NaN,-73,-78,NaN,NaN,10
-71,-38,-54,-56,NaN,-55,-32,-55,-80,-51,-63,NaN,-65,NaN,-63,NaN,NaN,NaN,NaN,11
-71,-38,-47,-58,NaN,-51,NaN,NaN,NaN,-52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
-69,-42,-45,-59,NaN,-54,-30,-54,NaN,-50,NaN,-70,NaN,NaN,NaN,-68,NaN,NaN,NaN,11
-69,-41,-45,-62,-67,-53,-30,-55,-85,-55,NaN,NaN,-67,-64,-64,-69,NaN,-81,NaN,11
-62,-78,-48,-63,-65,-45,-30,-50,NaN,-54,NaN,-71,NaN,-64,NaN,-68,-74,NaN,NaN,11
-68,-45,-47,-55,-87,-47,-30,-51,NaN,-54,NaN,-73,-61,NaN,NaN,-69,NaN,NaN,NaN,11
-70,-43,-45,-57,-66,-52,-30,NaN,NaN,-54,-61,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
-70,-43,-46,NaN,NaN,NaN,-30,-53,NaN,-52,-62,NaN,-64,-66,NaN,NaN,-73,-74,NaN,11
