06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-64,-31,-43,-48,-60,-49,-40,-68,-79,-45,NaN,-69,-50,-60,NaN,-71,NaN,NaN,NaN,3
-64,-30,-43,-54,-59,-47,-85,-46,-75,-50,NaN,-70,-49,-58,NaN,-70,NaN,-79,NaN,3
-65,-30,-42,-48,-59,-47,-41,-46,-68,-50,-69,-69,NaN,-60,NaN,NaN,NaN,NaN,NaN,3
-65,-31,-43,-48,-60,-47,-40,-47,NaN,-49,-68,NaN,-50,NaN,NaN,NaN,NaN,NaN,NaN,3
-65,-30,-41,-48,-59,-47,-40,-47,NaN,-49,-68,-69,-48,-55,-71,-71,-76,NaN,-79,3
-65,-30,-42,-48,-59,-46,-40,-47,NaN,-49,NaN,NaN,-50,NaN,-71,NaN,NaN,NaN,NaN,3
-66,-31,-42,-48,-59,-49,-40,-47,NaN,-44,-72,NaN,-49,-60,-71,-71,NaN,NaN,-71,3
-64,-31,-40,-48,-59,-49,-41,NaN,-80,-50,NaN,-70,-48,-59,-74,NaN,-76,-78,-70,3
-65,-30,-43,-49,-61,-47,-41,-47,-78,-53,NaN,-70,-49,-60,-71,-59,NaN,NaN,NaN,3
-48,-31,-41,-48,-60,-48,-40,-47,NaN,-48,-68,-71,-50,-60,-72,NaN,NaN,-80,NaN,3
-66,-31,-41,-48,NaN,-49,-41,-49,NaN,-49,-68,-69,-50,-60,NaN,-70,-78,NaN,NaN,3
-65,NaN,-41,-48,NaN,-47,-41,-48,NaN,-50,-67,-70,-50,-62,NaN,NaN,NaN,NaN,NaN,3
-66,-31,-41,-48,-57,-46,-40,-47,NaN,-49,-68,NaN,-50,-60,-70,NaN,-79,NaN,NaN,3
-66,-30,-41,-48,-63,-48,-40,-48,NaN,-45,-69,NaN,-49,-60,-71,NaN,-78,NaN,-71,3
-66,-30,-42,-48,-59,-49,-40,-47,NaN,-53,-68,-69,NaN,NaN,-71,NaN,NaN,NaN,NaN,3
-66,-31,-40,-48,NaN,-49,-40,-68,NaN,-50,-69,-69,-49,NaN,-70,NaN,NaN,NaN,NaN,3
-66,-34,-40,-48,-59,-49,-40,-47,-80,-44,-68,NaN,-50,-61,-70,-70,-78,NaN,-70,3
-66,-31,-41,-48,-61,-49,-40,-48,NaN,-50,NaN,NaN,-50,-59,-72,-72,NaN,NaN,NaN,3
-64,-31,-42,-48,-59,-49,-41,-47,-79,-50,-68,NaN,-49,-61,-71,NaN,NaN,NaN,-73,3
