4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-33,-45,-54,-59,-72,-75,-64,-64,-65,-57,-60,-74,-74,NaN,-82,NaN,NaN,-79,2
-33,-46,-55,-58,-60,-76,-65,-65,-65,-63,-61,-76,-74,NaN,-83,NaN,NaN,NaN,2
-33,-45,-55,-59,-62,-75,-64,-68,-65,-57,-61,-76,NaN,NaN,-83,NaN,NaN,NaN,2
-39,-37,-59,-51,-70,NaN,-73,-60,-78,-58,-63,-77,NaN,NaN,-78,-89,NaN,-78,3
-37,-38,-61,-52,-70,-69,-74,-64,-78,-70,-63,-77,NaN,NaN,-78,-89,NaN,-78,3
-39,-38,-57,-58,-71,-69,-65,-59,-74,-61,-68,-78,NaN,NaN,-76,NaN,NaN,NaN,3
-33,-40,-61,-53,-70,-69,-68,-58,-68,-70,-62,-78,NaN,-70,-76,NaN,NaN,NaN,3
-36,-40,-65,-51,-70,NaN,-70,-58,-68,-70,-60,-80,-72,-70,-73,NaN,NaN,-81,3
-34,-38,-62,-51,-69,NaN,-70,-58,-73,-83,-58,-80,-83,NaN,-73,NaN,NaN,-81,3
-33,-37,-63,-52,-70,NaN,-68,-56,-71,-74,-58,-80,-83,NaN,-73,NaN,NaN,NaN,3
-36,-39,-64,-54,-70,-70,-69,-58,-71,-74,-59,NaN,NaN,NaN,NaN,NaN,-84,NaN,3
-36,-40,-62,-69,-70,-70,-71,-60,-75,NaN,-60,NaN,NaN,NaN,-76,-90,-84,NaN,3
-37,-41,-61,-54,-71,-70,-71,-59,-76,-64,-60,NaN,-74,-87,-76,-90,NaN,NaN,3
-36,-40,-64,-56,-71,-70,-70,-59,-77,-69,-59,-79,-70,-87,NaN,NaN,-85,NaN,3
-37,-41,-62,-57,-71,-70,-70,-59,-75,-65,-60,-80,-70,-81,NaN,NaN,-85,-80,3
-37,-41,-63,-55,-69,-69,-71,-60,-75,-63,-59,-80,-72,-85,NaN,-87,NaN,-79,3
-36,-38,-64,-55,-71,-69,-72,-60,-75,-65,-59,NaN,-71,-85,-77,-87,NaN,-80,3
-36,-37,-63,-55,-72,-69,-72,-59,-75,-65,-59,NaN,-71,NaN,-77,-86,NaN,-80,3
-35,-39,-61,-55,-71,NaN,-72,-58,-75,-69,-59,NaN,-69,NaN,NaN,-86,NaN,NaN,3
-34,-39,-61,-53,-71,-69,-71,-58,-75,-68,-59,NaN,-73,NaN,NaN,NaN,NaN,-77,3
-35,-38,-61,-53,-71,-69,-70,-59,-75,-65,-58,NaN,-73,NaN,-76,NaN,NaN,-77,3
-33,-39,-61,-53,-72,-66,-70,-59,-75,-65,-59,NaN,-70,-88,-76,NaN,NaN,-80,3
-36,-38,-63,-54,-71,-69,-71,-58,NaN,-65,-57,NaN,-72,-88,-76,-87,NaN,-80,3
-35,-37,-58,-54,-72,-67,-72,-59,-75,-69,-59,-88,-72,NaN,-74,-90,NaN,-78,3
-36,-40,-59,-54,-65,-67,-72,-57,-75,-67,-59,-88,-62,NaN,-74,-90,NaN,-77,3
-34,-36,-59,-55,-72,-69,-70,-58,-78,-62,NaN,NaN,-70,NaN,-74,NaN,NaN,-77,3
-34,-35,-61,-53,-72,-69,-71,-58,-78,-60,-56,-78,-70,-84,-74,NaN,NaN,NaN,3
-35,-37,-61,-53,-71,-68,-71,-59,-75,-64,-56,-78,-70,-84,-74,NaN,NaN,NaN,3
-35,-37,-62,-52,-70,-68,-71,-57,-75,-62,-57,NaN,-71,-84,-76,-87,NaN,-77,3
-36,-38,-60,-52,-70,-69,-71,-58,-73,-66,-64,-82,-71,NaN,-76,-87,NaN,-79,3
-38,-36,-60,-54,-71,-67,-72,-62,-73,-62,-59,-82,NaN,NaN,-76,NaN,NaN,-79,3
-36,-33,-57,-60,-70,-67,-68,-65,-78,-58,-68,-84,-70,NaN,-75,NaN,NaN,-78,3
-36,-34,-57,-61,-70,-66,-69,-62,-78,-59,-66,-84,-67,-86,-72,NaN,NaN,-75,3
-36,-34,-58,-60,-70,-66,-78,-62,NaN,-59,-66,NaN,-68,-86,-72,NaN,NaN,-75,3
-38,-34,-61,-63,-72,-66,-71,-64,-68,-60,-66,NaN,-67,NaN,NaN,NaN,NaN,NaN,3
-38,-32,-58,-63,-71,-70,-69,-48,-67,-61,-69,NaN,-67,NaN,NaN,NaN,NaN,NaN,3
-37,-35,-58,-60,-74,-65,-70,-63,-69,-61,-69,NaN,NaN,NaN,NaN,-92,NaN,-81,3
-37,-34,-59,-58,-72,-67,-69,-62,-65,-62,-65,-81,-67,NaN,NaN,-92,NaN,-81,3
-37,-34,-58,-63,-71,-66,-68,-62,-65,-62,-65,-81,-67,NaN,NaN,NaN,NaN,NaN,3
-37,-33,-60,-62,-71,-67,-69,-62,-69,-64,-64,NaN,-67,NaN,NaN,NaN,NaN,NaN,3
-36,-34,-58,-60,-70,-67,-68,-63,-66,-63,-65,-79,-67,-87,NaN,NaN,-84,-77,3
-37,-34,-58,-63,-70,-67,-70,-63,-66,-65,-65,-79,NaN,-87,NaN,NaN,-84,-78,3
-37,-33,-60,-63,-70,-66,-67,-62,-64,-62,-64,-81,-66,NaN,-74,NaN,NaN,-78,3
-37,-33,-59,-60,-71,-67,-67,-61,-64,-61,-63,-81,-68,NaN,-74,NaN,NaN,NaN,3
-37,-33,-60,-63,-71,-67,-68,-62,-65,-63,-67,NaN,-65,NaN,NaN,NaN,NaN,NaN,3
-37,-34,-59,-58,-69,NaN,-66,-62,-65,-64,-67,NaN,-66,NaN,-74,NaN,NaN,-85,3
-36,-34,-57,-58,-69,NaN,-67,-61,-65,-63,-68,NaN,-66,-85,-74,-87,NaN,-85,3
