@relation SamsungTablet_Train

@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-62,-32,-56,-50,-58,-53,-36,-43,100,-50,-58,100,100,-63,100,100,-69,100,100,100,-85,-95,100,100,4
-62,-33,-56,-52,-57,-51,-36,-43,100,-49,100,-69,100,100,100,100,100,100,100,100,100,-93,100,100,4
-62,-32,-56,-49,-58,-51,-35,-46,100,-50,100,-71,-55,-63,-72,100,100,100,100,100,100,100,100,100,4
-62,-32,-56,-49,-57,-51,-35,-42,100,-50,100,-70,100,-63,100,100,100,100,100,100,100,-93,100,100,4
-61,-33,-57,-49,-56,-51,100,-43,100,-49,100,100,100,-63,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-56,-50,-57,-51,-35,-42,100,-50,-61,100,-60,-65,-68,100,100,100,100,100,100,100,100,100,4
-62,-33,-56,-49,-58,-51,-35,-42,100,-49,-61,-69,-56,100,-69,100,100,100,100,100,100,100,100,100,4
-62,-31,-56,-50,100,-51,-35,-44,100,-51,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-56,-51,-57,100,100,100,100,-49,-61,100,-55,-64,100,100,100,100,-68,100,100,-95,100,100,4
-62,-32,-56,-49,-57,-51,-36,-43,100,-49,-62,100,-54,100,100,100,100,100,100,100,100,100,100,100,4
-61,-32,-55,-49,-57,-50,-35,100,100,-50,-61,100,-54,100,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-55,-51,-58,-51,-73,-43,100,-48,-61,-71,-55,100,-74,-73,100,100,-69,100,100,100,100,100,4
-62,-35,-56,-49,100,-51,-70,-43,-85,-50,100,-69,-55,100,-68,-74,100,100,100,100,100,-95,100,100,4
-61,-32,-56,-49,-59,-51,-35,-43,100,-50,-62,-69,-56,-63,100,-72,-70,100,-68,-89,100,100,100,100,4
-61,-32,-55,-49,-50,-52,-35,-42,-85,-50,-61,-56,-55,100,-73,-76,100,100,-67,100,100,100,100,100,4
-61,-32,-55,-49,-57,-52,-36,-42,100,100,-68,100,-55,-63,100,100,100,-84,100,100,100,100,100,100,4
-61,-32,-56,-53,100,-50,-36,-42,-74,-50,100,100,-54,-63,100,100,100,100,-68,100,100,100,100,100,4
-62,-34,-57,-76,-56,-52,-36,-42,100,-48,100,-69,100,100,100,100,100,100,100,100,100,100,100,100,4
-61,-33,-56,-49,-56,-52,-36,-42,-83,-48,100,-70,-56,100,-71,100,100,100,100,100,100,100,100,100,4
-62,-33,-56,-53,-66,100,-36,-41,100,-52,100,-70,-54,100,100,100,100,100,100,100,100,-95,100,100,4
-61,-33,-56,-49,-57,-52,-36,-42,-85,-49,100,-70,-54,100,100,-75,100,100,100,100,100,100,100,100,4
-62,-33,-56,-49,100,-53,-36,100,100,-49,-61,-71,100,-65,100,100,-73,100,100,100,100,100,100,100,4
-62,-33,-55,-52,-55,-52,-36,-42,100,-50,-61,100,-53,100,100,-75,100,100,100,100,100,100,100,100,4
-62,-33,-56,-49,100,-53,-40,-42,100,-49,100,100,100,-62,-73,-74,100,100,100,100,100,-95,100,100,4
-62,-33,-56,-49,100,-53,100,-42,100,-50,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,4
-62,-33,-54,-51,100,-52,-36,-43,100,100,-62,100,-56,-63,-73,100,-73,100,100,100,100,-95,100,100,4
-62,-33,-56,-49,100,100,100,-43,100,-52,-62,100,-56,-62,-71,100,100,100,100,100,100,-94,100,100,4
-62,-36,-55,-49,-57,-52,100,-43,100,-52,100,100,100,100,100,100,100,100,-69,100,100,-97,100,100,4
-61,-33,-56,-49,-57,-52,-35,-42,100,-50,-61,100,-55,100,100,100,100,100,-69,100,100,-94,100,100,4
