LOCAL MAGNETIC FIELD X,LOCAL MAGNETIC FIELD Y,LOCAL MAGNETIC FIELD Z,ORIENTATION X,ORIENTATION Y,ORIENTATION Z,GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-17.18292236,-0.809669495,-20.87211609,-1.291200412,-1.382054094,91.13354753,-2.20418E-07,16.67777185,-21.29332153,2
-17.09442139,-0.44631958,-20.59955597,-1.282711661,-1.378985952,89.91712499,8.81476E-07,16.59374886,-21.00970368,2
-16.38641357,-0.537109375,-21.05369568,-1.270022663,-1.382910216,90.22273497,-4.2351E-07,15.87365095,-21.44967001,2
-15.94390869,-1.263618469,-20.87192535,-1.260595401,-1.382882788,92.9513614,5.00191E-07,15.45605286,-21.27328498,2
-14.1746521,7.181739807,-23.32458496,-1.0369082,-0.656644568,61.32527693,1.52221E-06,15.85033116,-23.35168976,3
-14.1746521,7.363510132,-22.87044525,-1.028769176,-0.65374574,60.79926358,9.26257E-08,15.93828739,-22.89476588,3
-13.64402771,7.000160217,-22.96123505,-1.034027248,-0.657040613,61.00124593,1.84396E-07,15.29769637,-22.9860944,3
-13.99765015,6.818389893,-23.05202484,-1.027955103,-0.669527106,62.21254583,-1.24426E-07,15.51666078,-23.08795655,3
-14.08615112,7.181930542,-23.14300537,-1.029504702,-0.675975178,61.18006711,2.46153E-07,15.76477683,-23.174777,3
-14.17446136,7.272720337,-22.77984619,-1.026266765,-0.675766697,61.07898031,6.93138E-07,15.88599602,-22.81149577,3
-14.08634186,7.181930542,-23.05221558,-1.024981196,-0.676068719,61.1932084,4.12636E-07,15.76418493,-23.08463276,3
-13.73252869,6.999969482,-22.87063599,-1.028713254,-0.662940882,61.1714679,-2.32494E-06,15.37210582,-22.89860847,3
-13.73233795,7.181739807,-22.77965546,-1.0261022,-0.658061139,60.59523217,-8.26885E-07,15.46168933,-22.80358213,3
-14.61696625,7.363700867,-22.59807587,-1.025141385,-0.652367376,61.5813339,-4.81545E-07,16.3261265,-22.62764723,3
-14.61677551,7.363700867,-22.96142578,-1.024967215,-0.636860285,61.56492778,-1.24832E-06,16.33085259,-22.98705167,3
