@relation RFKON_train

@attribute 4c:5e:0c:71:a8:bf numeric
@attribute d4:ca:6d:bc:1d:73 numeric
@attribute 18:28:61:13:0d:9d numeric
@attribute 00:26:5a:52:0b:8c numeric
@attribute 18:28:61:58:78:6a numeric
@attribute 4c:5e:0c:6f:20:b2 numeric
@attribute 64:66:b3:d0:4a:8d numeric
@attribute dc:02:8e:c2:23:52 numeric
@attribute 4c:5e:0c:70:52:5a numeric
@attribute 18:28:61:9e:ab:5c numeric
@attribute 4c:5e:0c:6f:20:fa numeric
@attribute c8:6c:87:46:62:1c numeric
@attribute e4:8d:8c:20:4d:c1 numeric
@attribute 18:28:61:c7:6b:67 numeric
@attribute d4:ca:6d:c9:f1:c5 numeric
@attribute 4c:5e:0c:71:aa:15 numeric
@attribute 04:18:d6:3e:4d:9f numeric
@attribute 18:28:61:1c:0b:69 numeric
@attribute 18:28:61:c7:6b:40 numeric
@attribute 98:fc:11:d7:73:e4 numeric
@attribute 18:28:61:72:86:cc numeric
@attribute c0:4a:00:0f:03:51 numeric
@attribute 4c:5e:0c:23:44:33 numeric
@attribute 08:37:3d:c7:8d:ea numeric
@attribute 06:18:d6:c2:98:24 numeric
@attribute 04:18:d6:c1:98:24 numeric
@attribute 88:e3:ab:57:c1:14 numeric
@attribute 4c:5e:0c:6f:73:41 numeric
@attribute 64:70:02:a4:35:04 numeric
@attribute ba:b4:2e:cd:29:8a numeric
@attribute e8:37:7a:6c:7f:55 numeric
@attribute c8:d7:19:bc:98:31 numeric
@attribute 38:2d:d1:3e:15:9d numeric
@attribute 3c:33:00:50:6c:77 numeric
@attribute e4:8d:8c:95:5c:60 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-76,-71,100,-77,100,-65,100,100,-38,100,-71,100,100,100,-50,-25,100,-49,100,100,100,100,100,100,-67,-51,100,100,100,100,-58,100,-57,100,100,12
100,-74,100,100,100,-60,100,-65,-38,-69,-70,100,-76,100,-52,-25,100,-49,100,100,100,-56,100,100,-67,-53,100,100,100,100,-58,-64,-57,100,100,12
100,-71,100,-67,100,-58,100,-67,-38,-68,100,100,100,100,-50,-25,100,-49,100,100,100,-62,100,100,-67,-50,100,100,100,100,-58,-67,-57,100,100,12
-75,-68,100,-68,100,-61,-79,-68,-39,-69,-75,100,-76,100,-50,-25,100,-49,100,100,100,-61,-77,100,-67,-51,100,100,100,100,-57,-66,-57,100,100,12
-76,-70,100,100,100,100,100,100,-39,-68,100,100,100,100,100,-25,100,-49,100,100,100,-60,-77,100,-65,-52,100,100,100,100,-58,100,-57,100,100,12
100,-70,100,100,-88,-61,100,-66,-38,-68,100,100,100,100,-49,-25,100,-48,100,100,100,-61,-76,100,-56,-53,100,100,100,100,-58,-66,-57,100,100,12
100,-74,100,-76,100,-55,-87,-70,-39,-70,100,100,100,100,-50,-25,100,-52,100,100,100,-54,-76,100,-65,-53,100,100,100,100,-57,100,-58,100,100,12
100,100,100,-77,100,-54,100,-69,-38,-70,-72,100,-77,100,-50,-24,100,-51,100,100,100,-57,-75,100,-64,-51,100,100,100,100,-59,-66,-59,100,100,12
-73,100,100,-77,100,-53,100,-71,-39,100,100,100,-75,100,-50,-24,100,-48,100,100,100,-57,100,100,-65,-50,100,100,100,100,100,-67,-58,100,100,12
100,-67,100,-76,-87,-50,-86,-71,-50,-67,100,100,-77,100,-52,-25,100,-48,100,100,100,100,-74,100,-64,-52,100,100,100,100,100,100,-56,100,100,12
100,-72,100,100,100,-62,100,-75,-39,-66,100,100,-75,100,-49,-25,100,-49,100,100,100,-55,-71,100,-58,-54,100,100,100,100,-60,-68,-57,100,100,12
100,-74,100,100,100,-71,100,-68,-37,-67,100,100,-76,100,-49,-25,100,-49,100,100,100,100,-71,100,-67,-52,100,100,100,100,-60,-66,-57,100,100,12
100,-70,100,100,100,-61,100,-74,-39,100,100,100,100,100,-49,-25,100,-49,100,100,100,-59,100,100,-66,-52,100,100,100,100,-57,-58,-56,100,100,12
100,-70,100,-77,100,-61,100,-73,100,-66,100,100,100,100,-49,-25,100,-47,100,100,100,-58,-71,100,-65,-53,100,100,100,100,-58,-72,-56,100,100,12
-75,-71,100,100,100,-70,-86,-67,-39,-67,100,100,-61,100,-49,-25,100,-49,100,100,100,-59,-70,100,-66,-53,100,100,100,100,-59,-67,-57,100,100,12
-75,100,100,-77,100,-58,100,-74,-41,100,100,100,100,100,-49,-26,100,-49,100,100,100,-59,-71,100,-65,-52,100,100,100,100,-59,100,-57,100,100,12
100,100,100,100,100,100,100,-69,-39,100,100,100,100,100,100,-24,100,100,100,100,100,-58,100,100,-67,-53,100,100,100,100,-58,100,-56,-65,100,12
100,-70,100,100,100,100,100,100,-38,-69,-74,100,100,100,-52,-25,100,-49,100,100,100,-59,100,100,-67,-55,100,100,100,100,-58,-66,-56,100,100,12
-75,100,100,100,100,-60,100,-73,-38,-67,-74,100,100,100,-50,-24,100,-48,100,100,100,-59,100,100,-67,-52,100,100,100,100,-58,100,-56,100,100,12
-75,100,100,100,100,-60,-87,-73,-38,100,100,100,100,100,100,-24,100,-49,100,100,100,100,100,100,-67,-52,100,100,100,100,-57,-68,-56,100,100,12
-75,-72,100,-81,100,-66,100,-68,-39,-72,100,100,100,100,-48,-25,100,-48,100,100,100,-60,100,100,-66,-51,100,100,100,100,-58,-66,-57,100,100,12
-75,-71,100,100,100,-58,100,-69,100,100,100,100,100,100,-49,-25,100,-49,100,100,100,-60,100,100,-67,-54,100,100,100,100,-57,-67,-57,100,100,12
-76,100,100,100,100,-60,100,-70,-38,-68,100,100,100,100,-51,-24,100,-49,100,100,100,-60,-70,100,-66,-53,100,100,100,100,-57,-66,-57,100,100,12
