06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e4:8d:8c:20:4d:c1_UPLAT,18:28:61:13:0d:9d_EROGLU,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-71,-57,-60,-69,NaN,-32,-64,NaN,-44,-69,-72,-74,-81,-73,-59,NaN,-85,NaN,-88,2
-72,-58,-58,-69,NaN,-32,-63,NaN,-44,-71,-71,-76,-80,-73,-57,-81,-85,NaN,-88,2
-71,-61,-58,-69,-73,-34,-65,-79,-44,-71,-72,-75,-80,-73,-59,-80,-85,NaN,NaN,2
-72,-64,-60,-67,-73,-34,-65,-79,-44,-70,-73,-76,-85,-74,-56,-80,-85,NaN,NaN,2
-71,-61,-60,-67,-73,-33,-70,-70,-44,-70,-73,-75,-85,-73,-58,-81,NaN,NaN,NaN,2
-71,-63,-56,-65,-73,-33,-65,-69,-44,-71,-72,-75,-81,-73,-59,-80,NaN,NaN,NaN,2
-71,-64,-56,-66,-73,-33,-65,-64,-44,-70,-72,-75,-80,-76,-60,-82,NaN,NaN,-87,2
-72,-60,-57,-65,-75,-32,-66,-67,-44,-71,-72,-75,-86,-74,-59,-80,-85,NaN,-87,2
-71,-64,-58,-65,-75,-33,-66,-66,-44,-71,-71,-74,-81,-74,-57,-80,-84,NaN,NaN,2
-71,-64,-58,-66,NaN,-33,-68,-76,-44,-70,-70,-76,-81,-73,-57,-82,-84,-87,NaN,2
-69,-69,NaN,-66,-74,-33,-71,-70,-45,-71,-70,-76,-81,-73,-57,-82,NaN,-89,NaN,2
-72,-66,-58,-64,-73,-32,-67,-69,-45,-70,-69,-73,-79,-73,-61,NaN,NaN,-89,NaN,2
-71,-66,-56,-65,-76,-33,-64,-69,-44,-71,-70,-75,-83,-73,-60,NaN,-87,NaN,NaN,2
-71,-64,-56,-64,-76,-79,-59,-70,-44,-70,-69,-74,-83,-73,-59,NaN,-87,NaN,NaN,2
-72,-60,-57,-64,-76,-33,-63,-69,-44,-71,-73,-75,-83,-73,-59,NaN,NaN,-92,NaN,2
-72,-59,-57,-65,NaN,-33,-63,-68,-44,-71,-73,-75,-83,-73,-60,NaN,NaN,-92,NaN,2
-70,-59,-56,-66,NaN,-33,NaN,-68,-44,-71,-73,NaN,NaN,-71,-60,NaN,NaN,NaN,NaN,2
-71,-69,-57,-64,NaN,-33,NaN,-75,-44,-71,-73,NaN,-80,-77,-57,NaN,NaN,NaN,NaN,2
-71,-62,-55,-65,-75,-33,-67,-70,-45,-71,-71,-77,-79,-74,-60,NaN,-85,NaN,NaN,2
-72,-61,-55,-63,-74,-33,-66,-70,-45,-71,-71,-76,-78,-74,-57,NaN,-85,NaN,NaN,2
-73,-66,-56,-65,-74,-32,-63,-68,-44,-70,-77,-77,-78,-73,-60,NaN,NaN,NaN,NaN,2
-72,-66,-55,-64,-74,-33,-65,-64,-45,-71,-72,-74,-85,-73,-60,NaN,NaN,NaN,NaN,2
-72,-64,-58,-64,-73,-34,-64,-70,-45,-71,-71,-78,-85,-76,-60,NaN,NaN,NaN,NaN,2
-72,-66,-55,-64,-75,-34,-65,-66,-45,-71,-71,-78,NaN,-77,-60,NaN,-85,-92,-89,2
-72,-64,-54,-64,-76,-34,-67,-68,-44,-71,-72,NaN,-76,-73,-60,-80,-85,-92,-89,2
-72,-60,-52,-65,-76,-33,-67,-69,-45,-71,-71,-74,-79,-73,-60,-80,-86,NaN,NaN,2
-72,-64,-53,-64,-76,-33,-65,-69,-44,-71,-71,-74,-79,-73,-61,NaN,-86,NaN,NaN,2
-72,-67,-53,-65,-75,-33,-64,-67,-44,-71,-72,-78,-79,-74,-59,NaN,NaN,NaN,NaN,2
-72,-64,-54,-65,-76,-33,-65,-65,-45,-70,-71,-78,-79,-74,-59,-82,NaN,NaN,NaN,2
-73,-59,-52,-64,-89,-33,-65,-69,-44,-70,-71,-73,-80,-72,-60,-82,NaN,NaN,NaN,2
