@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-52,-37,-31,-58,-61,?,-51,-56,-67,-67,-65,-72,-71,-62,-71,?,?,?,?,?,?,?,?,-5.1,-28.26,-25.379999,3
-53,-36,-30,-59,-63,-65,-51,-55,-66,-68,-66,-74,-71,-61,?,?,?,?,?,-74,?,?,?,-4.92,-28.26,-25.5,3
-51,-35,-31,?,-54,-69,-53,-52,-71,-68,-67,-76,-71,-61,?,?,-82,?,?,?,?,?,?,-5.28,-28.439999,-25.199999,3
-51,-37,-32,-60,?,-63,-49,-53,-67,-67,-68,?,?,?,?,?,-80,?,?,?,?,?,?,-5.4,-28.379999,-25.199999,3
-51,-36,-31,-64,-66,-64,-52,-54,-67,-68,-65,-71,?,-62,-71,?,?,?,?,-74,-85,?,?,-4.98,-28.859999,-25.5,3
-54,-40,-31,-60,-57,-65,-53,-51,-67,-65,-68,?,-73,-61,-72,?,?,?,?,?,?,?,?,-4.86,-28.619999,-25.26,3
-52,-39,-31,-61,-57,-63,-53,-52,?,-67,-67,?,-72,?,-72,?,?,-84,?,-73,-88,?,?,-5.1,-28.199999,-25.199999,3
-52,-33,-30,-51,-48,-55,-53,-59,-80,-64,?,-57,?,-63,-73,-89,?,?,?,-78,?,?,?,-5.22,-28.439999,-24.9,3
-52,-35,-30,-57,-53,-56,-52,-57,-75,-65,-68,-58,-79,-63,-75,?,-86,?,?,-73,?,?,?,-5.4,-28.379999,-25.26,3
-53,-36,-30,-55,-52,-58,-50,-56,-75,-67,-65,-60,-77,-63,?,?,?,-84,?,-73,?,?,?,-5.1,-28.799999,-25.199999,3
-52,-36,-30,-55,-54,-59,-52,-55,-79,-66,?,?,?,-61,-75,?,?,?,?,-72,?,?,?,-4.98,-28.68,-25.439999,3
-55,-30,-51,-65,-50,-60,-51,-52,-68,-64,-64,-59,?,-68,-75,?,?,?,?,-72,?,?,?,6,-23.699999,-27.66,4
-58,-32,-39,?,-45,-56,-57,?,?,-67,-71,?,?,-67,-74,?,?,?,?,?,?,?,?,6.24,-23.459999,-27.359999,4
-56,-31,?,-56,-45,?,-50,-50,-64,-68,-67,?,?,-64,?,?,?,?,?,?,?,?,?,6.36,-24.18,-27.119999,4
-55,-29,-33,-69,-44,-56,-50,-52,-63,-69,-64,-61,-76,-63,?,?,?,?,?,?,?,?,?,6.12,-24.299999,-27.24,4
-51,-29,-33,-63,-43,-57,-52,-55,-64,-58,-65,?,?,-65,-72,?,?,-82,?,?,?,?,?,6.9,-21.84,-27.9,4
