4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-53,-50,-70,-78,-75,-70,-58,-58,-45,-63,-61,-82,-72,NaN,-83,-69,NaN,-87,-77,NaN,NaN,2
-57,-46,-64,-82,NaN,-70,-59,-55,-44,-65,-60,-79,-73,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,2
-59,-48,-64,-71,-80,-71,-58,-57,-46,-63,-60,-81,-73,NaN,-81,-78,NaN,-91,NaN,NaN,NaN,2
-61,-48,-73,-71,-72,-72,-58,-54,-43,-63,-58,-81,-80,NaN,-81,-78,NaN,-91,NaN,NaN,NaN,2
-61,-48,-63,NaN,-81,-72,-56,-56,-46,NaN,-60,NaN,-80,NaN,-80,-79,NaN,NaN,NaN,NaN,NaN,2
-60,-48,-63,NaN,-81,-72,-56,-57,-46,-63,-58,-82,-77,-86,-80,-79,NaN,NaN,NaN,NaN,NaN,2
-61,-48,-63,NaN,-80,-73,-58,-55,-48,-63,-60,-82,-75,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
-60,-48,NaN,NaN,-71,-73,-58,-56,-45,-63,-61,-81,-75,-86,-81,NaN,NaN,-91,NaN,NaN,NaN,2
-60,-87,-60,-81,-71,-73,-60,-56,-44,-63,-58,-81,NaN,-87,-81,-78,NaN,-91,-83,-88,NaN,2
-60,-48,-60,-81,-73,-72,-59,-55,-46,-62,-66,-76,-75,-86,-81,-78,-81,NaN,-83,-88,NaN,2
-60,-47,NaN,NaN,-83,-72,-59,-55,-45,-62,-66,-76,-75,-86,-81,-81,-79,NaN,NaN,NaN,-91,2
-61,-48,NaN,-78,-83,-72,-58,-55,-45,-62,-63,NaN,NaN,NaN,NaN,-81,-79,NaN,NaN,NaN,-91,2
-59,-47,-63,-78,-72,-72,-60,-56,-48,-63,-65,-81,-77,NaN,-81,NaN,NaN,NaN,NaN,NaN,NaN,2
-60,-48,-74,NaN,-72,-72,-59,-56,-45,-62,-60,-80,-81,NaN,-81,-78,NaN,NaN,NaN,NaN,NaN,2
-62,-49,-69,-80,-73,-72,-60,-55,-45,-61,-60,-80,-76,NaN,-81,-78,NaN,NaN,-84,NaN,NaN,2
-63,-47,-70,-83,-74,-72,-60,-55,-45,-60,-62,-80,-76,-87,-80,NaN,-84,-91,-84,NaN,NaN,2
-79,-47,-70,-83,-82,-72,-60,-55,-46,-62,-62,-80,NaN,-86,-80,NaN,-80,-91,NaN,NaN,NaN,2
-63,-48,-63,NaN,-73,-73,-59,-55,-45,-61,-62,-81,NaN,-86,-80,NaN,-79,NaN,NaN,NaN,NaN,2
-63,-47,-62,-79,-73,-72,-61,-55,-79,-60,NaN,-81,-74,-90,-78,-78,-79,NaN,NaN,NaN,NaN,2
-63,-47,-62,-79,-73,-72,-60,-55,-46,-61,NaN,-77,-74,-90,-79,-78,-77,NaN,NaN,NaN,NaN,2
-66,-48,-62,NaN,-73,-72,-60,-55,-45,-62,-66,-80,NaN,-86,-81,NaN,-77,NaN,NaN,NaN,NaN,2
-66,-47,-63,NaN,-71,-71,-60,-56,-44,-63,-66,-78,-75,-86,-77,NaN,NaN,NaN,NaN,NaN,NaN,2
-65,-48,-63,NaN,-72,-72,-60,-56,-45,-61,-66,-81,-75,-86,-81,NaN,-79,NaN,NaN,NaN,NaN,2
