@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-28,-41,-57,-52,-64,-65,-70,-72,12
-28,-40,-56,-52,-62,-65,?,-73,12
-28,-39,-57,-51,-63,-64,?,-72,12
-29,-40,-63,-50,-64,?,?,-73,12
-29,-38,-59,-53,-63,-66,-71,-72,12
-30,-36,-58,?,?,-65,-73,-78,12
-27,-38,-59,-52,-64,?,-71,-73,12
-29,-40,-58,-53,-64,-66,-70,?,12
-29,-38,-61,-53,?,?,-78,?,12
-26,-40,-55,-53,-64,-69,-78,-73,12
-37,-30,-48,?,-64,-67,-72,?,52
-36,-28,-48,-53,-64,-67,-71,?,52
-36,-30,-50,-54,-66,-67,?,?,52
-35,-29,-51,-52,-64,?,-70,?,52
-35,-30,-51,-54,-63,?,-70,?,52
-36,-34,-51,-54,?,?,?,-76,52
-35,?,-50,-53,-66,-67,?,?,52
-35,-30,-49,-54,-66,-67,-70,-76,52
-35,-31,-50,-54,-66,?,?,?,52
-35,-30,-50,-54,-66,-75,?,?,52
-40,-45,-49,-54,-68,-76,?,?,52
-34,-30,-49,-53,-66,-67,-70,?,52
-32,-30,-48,-53,-66,-67,-69,-75,52
-35,-33,-50,-56,?,-67,-70,?,52
-34,-30,-49,-54,-68,-66,-70,?,52
-34,-29,-50,-54,-66,?,-69,?,52
-35,-30,-49,-53,?,-66,?,-75,52
-35,-33,-49,-53,-68,?,?,?,52
-35,-30,-50,-53,-65,?,-70,-73,52
?,-30,-55,-54,?,-75,-70,-75,52
-35,-28,-50,-54,-65,?,?,-75,52
-35,-30,-49,-54,?,-67,-71,-76,52
-35,-30,-49,-54,?,-66,?,?,52
-36,-29,-49,-54,?,-67,-71,?,52
-34,-30,-49,-54,-65,-66,?,?,52
-34,-30,-49,-54,-65,-66,-71,?,52
-90,-30,-51,-54,-66,?,-71,?,52
-35,-30,-50,-54,-65,?,-71,?,52
-35,-30,-50,-54,-65,?,?,-76,52
-35,-30,-51,-54,-66,-67,-71,?,52
-34,-33,-50,?,-66,?,-71,-77,52
-35,-30,-49,-55,-65,-67,-71,?,52
-35,-30,-50,-54,-69,-66,-70,-74,52
-36,-30,-54,-55,?,?,?,?,52
-35,-30,-49,-53,-67,-66,-70,?,52
-35,-30,-49,-54,-64,-68,?,-76,52
-35,-30,-48,-55,?,-67,?,-78,52
-35,-29,-50,-54,-65,-67,-70,-79,52
-36,-30,-46,-54,-65,-67,?,-75,52
-35,-30,-50,-55,-64,-66,?,?,52
-35,-30,-51,-54,?,?,-70,-76,52
-35,-30,-49,-54,-60,-66,?,-81,52
-34,-30,-49,-54,-66,?,-73,-75,52
-35,-30,-48,-55,-68,-66,-70,?,52
-40,-30,-50,-55,-65,?,?,-75,52
-34,-30,-48,-55,-66,-66,-69,?,52
-35,-33,-49,-54,-66,?,?,?,52
-35,-30,-50,-54,-65,-67,-71,?,52
-35,-29,-50,?,-66,-67,-71,?,52
-36,-28,-67,?,-66,-67,?,-74,52
-35,-30,-51,-54,-66,-67,-71,-75,52
-35,-30,-51,-54,-66,-67,-71,-79,52
-35,-30,-51,-55,-66,-67,-71,?,52
-35,-30,-51,-54,-66,-66,-71,?,52
-35,-30,-52,-54,-66,-66,-69,-74,52
-35,-33,-53,-56,-65,-67,-69,-74,52
-35,-30,-52,-54,-66,-66,-70,?,52
-35,-33,-52,-55,?,?,?,-79,52
-36,-28,-51,-55,-66,-66,-69,-77,52
-36,-30,?,-54,-69,-68,-69,-78,52
-35,-30,-87,-54,-67,-67,-71,-84,52
-35,-30,-52,-54,-67,-66,-71,-80,52
-35,-31,-51,-54,?,-67,-71,?,52
-35,-30,-52,-54,-66,-67,?,-77,52
-72,-30,-52,-54,-66,?,-71,?,52
-35,-31,-51,?,-68,-66,-70,-79,52
-78,-30,-53,-54,-66,-66,-70,-78,52
-35,-30,-52,-54,-65,?,?,?,52
-35,-30,-53,-54,-66,-66,-68,-75,52
-35,-29,-52,-54,-63,-66,-70,-76,52
-35,-30,-51,-54,-65,-66,-69,?,52
-35,-30,-52,-53,-64,-67,-69,?,52
-35,-30,-52,-54,-67,-66,?,?,52
-35,-30,-51,-54,-62,-66,?,?,52
-35,-31,-50,-54,-64,-67,?,?,52
