@relation 'Sony_Xperia_Train_WiFi-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R18,25-30'

@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-32,-44,-55,-57,-71,-78,-63,-67,-67,-58,-66,-76,-71,?,?,?,?,-75,?,-60,?,?,?,2
-33,-44,-54,-62,-72,-77,-63,-67,-67,-57,-65,-76,-71,?,?,?,?,-75,?,-59,?,?,?,2
-33,-44,-55,-58,-71,-77,-62,-67,?,-57,-65,-76,-74,?,?,-91,?,-75,?,-59,?,?,?,2
-33,-44,-55,-57,-72,-77,-64,-66,-66,-58,-66,-77,-74,?,-82,-89,?,-75,?,-59,?,?,?,2
-33,-44,-55,-58,-73,-77,-66,-67,-67,-57,-65,-76,-73,?,-82,-89,?,-76,?,-59,?,?,?,2
-33,-43,-55,-57,-73,-75,-62,-67,-66,-62,-66,-76,-73,?,-76,?,?,-76,?,-59,?,?,?,2
?,-42,-55,-61,-73,-81,-67,-67,-66,-62,-65,?,?,?,-76,?,?,?,?,-59,?,?,?,2
-34,-43,-56,-58,-74,-81,-63,-66,-67,?,-67,?,?,-90,-76,?,?,-79,?,-58,?,?,?,2
-33,-45,-54,-57,-72,-76,-62,-66,-66,?,-67,-76,?,-90,?,?,?,-83,?,-60,?,?,?,2
-33,-43,-54,-59,-72,-77,-63,-67,-68,?,-67,-76,?,?,?,?,-88,-80,?,-60,?,?,?,2
-74,-46,-55,-57,-71,-77,-64,-68,-67,?,-66,?,?,?,?,?,-88,-80,?,-57,?,?,?,2
-32,-42,-56,-56,-73,?,-64,-69,-67,-58,-66,-77,-73,-90,?,?,?,?,-88,-61,?,?,?,2
-33,-42,-55,-59,-73,-76,-65,-67,-67,-65,-65,-76,-73,-90,?,?,?,-78,-88,-58,?,?,?,2
-33,-45,-55,-56,-71,-76,-64,-67,-67,-65,-67,-76,-77,?,-81,-87,?,-78,?,-58,?,?,?,2
-34,-47,-54,-56,-72,?,-66,-67,-69,-65,-72,?,-77,?,-81,-87,?,?,?,-62,?,?,?,2
-34,-49,-54,-56,-72,?,-66,-75,-69,?,-67,-78,?,?,?,-87,?,?,?,-61,?,?,?,2
-34,-45,-55,-56,-72,?,-73,-64,-67,-58,-67,-78,-75,?,?,?,?,?,?,-59,?,?,?,2
-32,-48,-54,-54,-72,-80,-65,-66,-66,-57,-71,-78,-75,-88,?,?,?,-79,?,-61,?,?,?,2
-33,-48,-55,-59,-73,-80,-67,-66,-73,-57,-71,-78,?,-88,?,?,?,-79,?,-64,?,?,?,2
-35,-50,-54,-58,-73,-80,-66,-65,-73,-59,-67,?,-75,?,?,?,?,?,?,-64,?,?,?,2
-35,-45,-54,-54,-72,-80,-67,-65,-68,-59,-67,?,-75,?,?,?,?,?,?,?,?,?,?,2
-37,-53,-54,-54,-72,?,-68,-66,-68,-57,-67,?,-77,?,-83,-88,?,-76,?,-62,?,?,?,2
-36,-50,-56,-55,-72,?,-67,-67,-70,-58,-64,?,-77,?,-74,-88,?,-78,?,-60,?,?,?,2
-36,-53,-58,-55,-70,-77,-67,-70,-68,-60,-64,-75,-76,?,-74,?,?,-78,?,-58,?,?,?,2
-35,-54,-56,-59,-72,-77,-70,-67,-70,-59,-65,-75,-70,?,?,?,?,?,?,-60,-89,?,?,2
-47,-55,-54,-58,-73,-78,-65,-66,-70,-57,-67,-75,-71,?,?,?,?,?,?,-61,-89,?,?,2
-39,-53,-56,-56,-71,-78,-65,-66,?,-66,-66,?,-71,?,?,?,?,?,?,-61,?,?,?,2
-43,-53,-56,-59,-73,?,-69,-68,-69,-66,-64,?,-72,?,?,?,?,-79,?,-59,?,?,?,2
-44,-52,-57,-59,-75,?,-63,-68,-69,-59,-66,?,-76,?,?,?,?,-79,?,-59,?,?,?,2
-41,-54,-55,-47,-71,?,-67,-67,-70,-50,-68,?,-76,?,?,?,?,?,?,-61,?,?,?,2
-33,-54,-54,-61,-72,?,-67,-68,-70,-64,-66,-78,-74,?,?,?,?,?,?,-62,?,?,?,2
-34,-51,-57,-54,-72,?,-73,-65,?,-59,-63,-78,-73,?,?,?,?,?,?,-57,?,?,?,2
-33,-42,-55,-56,-72,?,-65,-68,-69,-59,-63,-78,-74,?,?,?,?,?,?,-57,?,?,?,2
-32,-39,-56,-59,-73,-77,-65,-67,-69,-57,-67,-75,-71,-89,?,?,?,?,?,-54,?,?,?,2
-32,-41,-55,-58,-73,-79,-65,-68,-68,-60,-67,-75,-72,-89,-80,-90,-87,?,?,-57,?,?,?,2
-33,-41,-55,-59,-71,-79,-64,-68,-68,-60,-64,?,-72,?,-80,-90,-87,?,?,-57,?,?,?,2
-32,-41,-56,-57,-71,-79,-65,-68,-68,-58,-63,?,-72,?,?,?,?,?,?,-60,?,?,?,2
